closetimems,open,high,low,close,volume
1704067200000,42283.58,42300.00,42250.00,42290.00,10.0
1704068100000,42290.00,42350.00,42280.00,42340.00,12.5
1704069000000,42340.00,42420.00,42340.00,42410.00,15.2
1704069900000,42410.00,42450.00,42390.00,42395.00,8.4
1704070800000,42395.00,42410.00,42350.00,42360.00,9.9
1704071700000,42360.00,42380.00,42300.00,42310.00,11.0
1704072600000,42310.00,42320.00,42200.00,42220.00,20.1
1704073500000,42220.00,42250.00,42150.00,42180.00,22.5
1704074400000,42180.00,42210.00,42160.00,42200.00,10.0
1704075300000,42200.00,42250.00,42190.00,42240.00,14.5
1704076200000,42240.00,42300.00,42240.00,42290.00,16.8
1704077100000,42290.00,42350.00,42280.00,42310.00,12.0
1704078000000,42310.00,42320.00,42250.00,42260.00,9.5
1704078900000,42260.00,42290.00,42250.00,42280.00,8.2
1704079800000,42280.00,42310.00,42270.00,42300.00,7.1
1704080700000,42300.00,42350.00,42290.00,42340.00,11.4
1704081600000,42340.00,42380.00,42330.00,42360.00,9.9
1704082500000,42360.00,42420.00,42350.00,42400.00,18.0
1704083400000,42400.00,42450.00,42390.00,42440.00,19.2
1704084300000,42440.00,42500.00,42420.00,42480.00,20.5
1704085200000,42480.00,42550.00,42460.00,42520.00,15.5
1704086100000,42520.00,42540.00,42480.00,42500.00,10.0
1704087000000,42500.00,42520.00,42450.00,42460.00,12.0
1704087900000,42460.00,42490.00,42400.00,42420.00,14.5
1704088800000,42420.00,42450.00,42380.00,42400.00,11.2
