Timestamp,Symbol,Reason,Details,Meta
1704062760.0,BTCUSDT,REJECT_EDGE_TOO_LOW,Score 3.7 < 6.0,
1704137700.0,BTCUSDT,REJECT_EDGE_TOO_LOW,Score 5.5 < 6.0,
1704137760.0,BTCUSDT,REJECT_EDGE_TOO_LOW,Score 4.9 < 6.0,
1704137820.0,BTCUSDT,REJECT_EDGE_TOO_LOW,Score 5.0 < 6.0,
1704137880.0,BTCUSDT,REJECT_EDGE_TOO_LOW,Score 5.7 < 6.0,
1704138060.0,BTCUSDT,REJECT_EDGE_TOO_LOW,Score 4.7 < 6.0,
1704138120.0,BTCUSDT,REJECT_EDGE_TOO_LOW,Score 5.0 < 6.0,
1704138840.0,BTCUSDT,Mode Block,Max Total DD Hit: 12.8%,
1704138900.0,BTCUSDT,Mode Block,Max Total DD Hit: 12.8%,
1704138960.0,BTCUSDT,Mode Block,Max Total DD Hit: 12.8%,
1704139020.0,BTCUSDT,Mode Block,Max Total DD Hit: 12.8%,
1704139260.0,BTCUSDT,Mode Block,Max Total DD Hit: 12.7%,
1704139320.0,BTCUSDT,Mode Block,Max Total DD Hit: 12.7%,
1704139440.0,BTCUSDT,Mode Block,Max Total DD Hit: 12.7%,
1704139500.0,BTCUSDT,Mode Block,Max Total DD Hit: 12.7%,
1704139560.0,BTCUSDT,Mode Block,Max Total DD Hit: 12.7%,
1704139620.0,BTCUSDT,Mode Block,Max Total DD Hit: 12.7%,
1704139980.0,BTCUSDT,Mode Block,Max Total DD Hit: 12.7%,
1704150420.0,BTCUSDT,Mode Block,Max Total DD Hit: 12.7%,
1704150480.0,BTCUSDT,Mode Block,Max Total DD Hit: 12.7%,
1704150540.0,BTCUSDT,Mode Block,Max Total DD Hit: 12.7%,
1704150600.0,BTCUSDT,Mode Block,Max Total DD Hit: 12.7%,
1704150720.0,BTCUSDT,Mode Block,Max Total DD Hit: 12.7%,
1704151380.0,BTCUSDT,Mode Block,Max Total DD Hit: 12.7%,
1704151560.0,BTCUSDT,Mode Block,Max Total DD Hit: 12.7%,
1704151620.0,BTCUSDT,Mode Block,Max Total DD Hit: 12.6%,
1704151680.0,BTCUSDT,Mode Block,Max Total DD Hit: 12.6%,
1704151740.0,BTCUSDT,Mode Block,Max Total DD Hit: 12.6%,
1704151800.0,BTCUSDT,Mode Block,Max Total DD Hit: 12.6%,
1704151860.0,BTCUSDT,Mode Block,Max Total DD Hit: 12.6%,
1704151920.0,BTCUSDT,Mode Block,Max Total DD Hit: 12.6%,
1704151980.0,BTCUSDT,Mode Block,Max Total DD Hit: 12.6%,
1704152040.0,BTCUSDT,Mode Block,Max Total DD Hit: 12.6%,
1704152100.0,BTCUSDT,Mode Block,Max Total DD Hit: 12.6%,
1704152160.0,BTCUSDT,Mode Block,Max Total DD Hit: 12.6%,
1704152220.0,BTCUSDT,Mode Block,Max Total DD Hit: 12.6%,
1704152280.0,BTCUSDT,Mode Block,Max Total DD Hit: 12.6%,
1704152340.0,BTCUSDT,Mode Block,Max Total DD Hit: 12.6%,
