Timestamp,Symbol,Reason,Details,Meta
1704062760.0,BTCUSDT,REJECT_EDGE_TOO_LOW,Score 4.2 < 8.0 ,
1704063120.0,BTCUSDT,REJECT_EDGE_COST,Exp:15.4 (Sl:7.2/ATR:11.0) < Cost:20.0*1.3 Score:10.1,10.1
1704063180.0,BTCUSDT,REJECT_EDGE_COST,Exp:18.2 (Sl:3.7/ATR:12.3) < Cost:20.0*1.3 Score:8.5,8.5
1704063240.0,BTCUSDT,REJECT_EDGE_COST,Exp:18.1 (Sl:2.6/ATR:12.1) < Cost:20.0*1.3 Score:8.1,8.1
1704063300.0,BTCUSDT,REJECT_EDGE_COST,Exp:17.8 (Sl:2.1/ATR:11.9) < Cost:20.0*1.3 Score:8.2,8.2
1704063360.0,BTCUSDT,REJECT_EDGE_COST,Exp:17.2 (Sl:2.2/ATR:11.5) < Cost:20.0*1.3 Score:8.4,8.4
1704063420.0,BTCUSDT,REJECT_EDGE_TOO_LOW,Score 7.8 < 8.0 ,
1704063480.0,BTCUSDT,REJECT_EDGE_COST,Exp:18.4 (Sl:2.7/ATR:12.2) < Cost:20.0*1.3 Score:8.9,8.9
1704063540.0,BTCUSDT,REJECT_EDGE_COST,Exp:18.1 (Sl:2.7/ATR:12.1) < Cost:20.0*1.3 Score:9.0,9.0
1704063600.0,BTCUSDT,REJECT_EDGE_COST,Exp:19.2 (Sl:2.0/ATR:12.8) < Cost:20.0*1.3 Score:8.8,8.8
1704063660.0,BTCUSDT,REJECT_EDGE_COST,Exp:19.3 (Sl:2.4/ATR:12.9) < Cost:20.0*1.3 Score:9.1,9.1
1704063720.0,BTCUSDT,REJECT_EDGE_COST,Exp:19.0 (Sl:1.2/ATR:12.7) < Cost:20.0*1.3 Score:8.6,8.6
1704063780.0,BTCUSDT,REJECT_EDGE_TOO_LOW,"Score 7.8 < 8.0 (p95=9.1, p99=9.9)",
1704063840.0,BTCUSDT,REJECT_EDGE_COST,Exp:19.2 (Sl:1.4/ATR:12.8) < Cost:20.0*1.3 Score:8.5,8.5
1704063900.0,BTCUSDT,REJECT_EDGE_TOO_LOW,"Score 7.8 < 8.0 (p95=9.1, p99=9.9)",
1704063960.0,BTCUSDT,REJECT_EDGE_TOO_LOW,"Score 7.8 < 8.0 (p95=9.1, p99=9.8)",
1704064020.0,BTCUSDT,REJECT_EDGE_TOO_LOW,"Score 8.0 < 8.0 (p95=9.1, p99=9.8)",
1704064080.0,BTCUSDT,REJECT_EDGE_COST,Exp:18.3 (Sl:1.4/ATR:12.2) < Cost:20.0*1.3 Score:8.4,8.4
1704064140.0,BTCUSDT,REJECT_EDGE_COST,Exp:17.6 (Sl:0.7/ATR:11.7) < Cost:20.0*1.3 Score:8.1,8.1
1704064200.0,BTCUSDT,REJECT_EDGE_COST,Exp:17.6 (Sl:1.6/ATR:11.7) < Cost:20.0*1.3 Score:8.7,8.7
1704064260.0,BTCUSDT,REJECT_EDGE_COST,Exp:17.2 (Sl:1.5/ATR:11.5) < Cost:20.0*1.3 Score:8.8,8.8
1704064320.0,BTCUSDT,REJECT_EDGE_COST,Exp:16.2 (Sl:1.3/ATR:10.8) < Cost:20.0*1.3 Score:8.8,8.8
1704064380.0,BTCUSDT,REJECT_EDGE_COST,Exp:15.8 (Sl:1.1/ATR:10.5) < Cost:20.0*1.3 Score:8.7,8.7
1704064440.0,BTCUSDT,REJECT_EDGE_COST,Exp:15.4 (Sl:1.6/ATR:10.3) < Cost:20.0*1.3 Score:9.0,9.0
1704064500.0,BTCUSDT,REJECT_EDGE_COST,Exp:15.2 (Sl:2.1/ATR:10.1) < Cost:20.0*1.3 Score:9.4,9.4
1704064560.0,BTCUSDT,REJECT_EDGE_COST,Exp:15.6 (Sl:2.3/ATR:10.4) < Cost:20.0*1.3 Score:9.6,9.6
1704064620.0,BTCUSDT,REJECT_EDGE_COST,Exp:15.6 (Sl:2.5/ATR:10.4) < Cost:20.0*1.3 Score:9.9,9.9
1704064680.0,BTCUSDT,REJECT_EDGE_COST,Exp:15.5 (Sl:2.8/ATR:10.3) < Cost:20.0*1.3 Score:10.2,10.2
1704064740.0,BTCUSDT,REJECT_EDGE_COST,Exp:14.8 (Sl:2.3/ATR:9.9) < Cost:20.0*1.3 Score:10.1,10.1
1704064800.0,BTCUSDT,REJECT_EDGE_COST,Exp:15.6 (Sl:3.1/ATR:10.4) < Cost:20.0*1.3 Score:10.8,10.8
1704064860.0,BTCUSDT,REJECT_EDGE_COST,Exp:15.6 (Sl:3.5/ATR:10.4) < Cost:20.0*1.3 Score:11.2,11.2
1704064920.0,BTCUSDT,REJECT_EDGE_COST,Exp:15.9 (Sl:1.9/ATR:10.6) < Cost:20.0*1.3 Score:10.3,10.3
1704064980.0,BTCUSDT,REJECT_EDGE_COST,Exp:15.5 (Sl:1.6/ATR:10.4) < Cost:20.0*1.3 Score:10.2,10.2
1704065040.0,BTCUSDT,REJECT_EDGE_COST,Exp:15.3 (Sl:1.6/ATR:10.2) < Cost:20.0*1.3 Score:10.2,10.2
1704065100.0,BTCUSDT,REJECT_EDGE_COST,Exp:14.7 (Sl:1.1/ATR:9.8) < Cost:20.0*1.3 Score:9.9,9.9
1704065160.0,BTCUSDT,REJECT_EDGE_COST,Exp:14.4 (Sl:0.4/ATR:9.6) < Cost:20.0*1.3 Score:9.2,9.2
1704065220.0,BTCUSDT,REJECT_EDGE_COST,Exp:13.8 (Sl:0.4/ATR:9.2) < Cost:20.0*1.3 Score:9.1,9.1
1704065280.0,BTCUSDT,REJECT_EDGE_COST,Exp:13.3 (Sl:0.1/ATR:8.9) < Cost:20.0*1.3 Score:8.6,8.6
1704065340.0,BTCUSDT,REJECT_EDGE_COST,Exp:12.8 (Sl:0.0/ATR:8.5) < Cost:20.0*1.3 Score:8.3,8.3
1704065400.0,BTCUSDT,REJECT_EDGE_COST,Exp:12.7 (Sl:0.2/ATR:8.5) < Cost:20.0*1.3 Score:8.2,8.2
1704065460.0,BTCUSDT,REJECT_EDGE_TOO_LOW,"Score 8.0 < 8.0 (p95=10.3, p99=11.0)",
1704065520.0,BTCUSDT,REJECT_EDGE_COST,Exp:12.2 (Sl:0.8/ATR:8.1) < Cost:20.0*1.3 Score:8.0,8.0
1704065580.0,BTCUSDT,REJECT_EDGE_TOO_LOW,"Score 7.6 < 8.0 (p95=10.3, p99=11.0)",
1704065640.0,BTCUSDT,REJECT_EDGE_TOO_LOW,"Score 7.2 < 8.0 (p95=10.3, p99=11.0)",
1704067980.0,BTCUSDT,REJECT_DIR_BUY,Buy Disabled per config,
1704068040.0,BTCUSDT,REJECT_DIR_BUY,Buy Disabled per config,
1704068100.0,BTCUSDT,REJECT_DIR_BUY,Buy Disabled per config,
1704068160.0,BTCUSDT,REJECT_DIR_BUY,Buy Disabled per config,
1704068220.0,BTCUSDT,REJECT_DIR_BUY,Buy Disabled per config,
1704068280.0,BTCUSDT,REJECT_DIR_BUY,Buy Disabled per config,
1704068340.0,BTCUSDT,REJECT_DIR_BUY,Buy Disabled per config,
1704068400.0,BTCUSDT,REJECT_DIR_BUY,Buy Disabled per config,
1704068460.0,BTCUSDT,REJECT_DIR_BUY,Buy Disabled per config,
1704068520.0,BTCUSDT,REJECT_DIR_BUY,Buy Disabled per config,
1704068580.0,BTCUSDT,REJECT_DIR_BUY,Buy Disabled per config,
1704068640.0,BTCUSDT,REJECT_DIR_BUY,Buy Disabled per config,
1704068700.0,BTCUSDT,REJECT_DIR_BUY,Buy Disabled per config,
1704068760.0,BTCUSDT,REJECT_DIR_BUY,Buy Disabled per config,
1704068820.0,BTCUSDT,REJECT_DIR_BUY,Buy Disabled per config,
1704073140.0,BTCUSDT,REJECT_DIR_BUY,Buy Disabled per config,
1704073200.0,BTCUSDT,REJECT_DIR_BUY,Buy Disabled per config,
1704073260.0,BTCUSDT,REJECT_DIR_BUY,Buy Disabled per config,
1704073320.0,BTCUSDT,REJECT_DIR_BUY,Buy Disabled per config,
1704073380.0,BTCUSDT,REJECT_DIR_BUY,Buy Disabled per config,
1704073440.0,BTCUSDT,REJECT_DIR_BUY,Buy Disabled per config,
1704073500.0,BTCUSDT,REJECT_DIR_BUY,Buy Disabled per config,
1704073560.0,BTCUSDT,REJECT_DIR_BUY,Buy Disabled per config,
1704073620.0,BTCUSDT,REJECT_DIR_BUY,Buy Disabled per config,
1704073740.0,BTCUSDT,REJECT_DIR_BUY,Buy Disabled per config,
1704080580.0,BTCUSDT,REJECT_EDGE_TOO_LOW,"Score 7.4 < 8.0 (p95=9.1, p99=10.2)",
1704080640.0,BTCUSDT,REJECT_EDGE_TOO_LOW,"Score 7.3 < 8.0 (p95=9.1, p99=10.2)",
1704080700.0,BTCUSDT,REJECT_EDGE_TOO_LOW,"Score 7.9 < 8.0 (p95=9.1, p99=10.2)",
1704080760.0,BTCUSDT,REJECT_EDGE_COST,Exp:10.0 (Sl:2.4/ATR:6.6) < Cost:20.0*1.3 Score:8.2,8.2
1704080820.0,BTCUSDT,REJECT_EDGE_TOO_LOW,"Score 7.9 < 8.0 (p95=9.0, p99=10.2)",
1704080880.0,BTCUSDT,REJECT_EDGE_TOO_LOW,"Score 7.6 < 8.0 (p95=9.0, p99=10.2)",
1704080940.0,BTCUSDT,REJECT_EDGE_TOO_LOW,"Score 6.9 < 8.0 (p95=9.0, p99=10.2)",
1704081180.0,BTCUSDT,REJECT_EDGE_TOO_LOW,"Score 6.7 < 8.0 (p95=9.0, p99=10.2)",
1704082740.0,BTCUSDT,REJECT_EDGE_TOO_LOW,"Score 5.0 < 8.0 (p95=9.0, p99=10.2)",
1704088260.0,BTCUSDT,REJECT_EDGE_TOO_LOW,"Score 5.4 < 8.0 (p95=8.8, p99=10.2)",
1704088560.0,BTCUSDT,REJECT_EDGE_TOO_LOW,"Score 7.0 < 8.0 (p95=8.8, p99=10.2)",
1704088740.0,BTCUSDT,REJECT_EDGE_TOO_LOW,"Score 6.8 < 8.0 (p95=8.8, p99=10.2)",
1704088800.0,BTCUSDT,REJECT_EDGE_TOO_LOW,"Score 7.1 < 8.0 (p95=8.8, p99=10.2)",
1704088860.0,BTCUSDT,REJECT_EDGE_TOO_LOW,"Score 7.3 < 8.0 (p95=8.8, p99=10.2)",
1704088920.0,BTCUSDT,REJECT_EDGE_TOO_LOW,"Score 6.7 < 8.0 (p95=8.8, p99=10.2)",
1704101040.0,BTCUSDT,REJECT_DIR_BUY,Buy Disabled per config,
1704101100.0,BTCUSDT,REJECT_DIR_BUY,Buy Disabled per config,
1704101160.0,BTCUSDT,REJECT_DIR_BUY,Buy Disabled per config,
1704101220.0,BTCUSDT,REJECT_DIR_BUY,Buy Disabled per config,
