Bar,Timestamp,Equity,Balance,UnrealizedPnL,PositionQty,Type
0,1704067260.0,1000.00,1000.00,0.00,0.00000000,BAR
1,1704067320.0,1000.00,1000.00,0.00,0.00000000,BAR
2,1704067380.0,1000.00,1000.00,0.00,0.00000000,BAR
3,1704067440.0,1000.00,1000.00,0.00,0.00000000,BAR
4,1704067500.0,1000.00,1000.00,0.00,0.00000000,BAR
5,1704067560.0,1000.00,1000.00,0.00,0.00000000,BAR
6,1704067620.0,1000.00,1000.00,0.00,0.00000000,BAR
7,1704067680.0,1000.00,1000.00,0.00,0.00000000,BAR
8,1704067740.0,1000.00,1000.00,0.00,0.00000000,BAR
9,1704067800.0,1000.00,1000.00,0.00,0.00000000,BAR
10,1704067860.0,1000.00,1000.00,0.00,0.00000000,BAR
11,1704067920.0,1000.00,1000.00,0.00,0.00000000,BAR
12,1704067980.0,1000.00,1000.00,0.00,0.00000000,BAR
13,1704068040.0,1000.00,1000.00,0.00,0.00000000,BAR
14,1704068100.0,1000.00,1000.00,0.00,0.00000000,BAR
15,1704068160.0,1000.00,1000.00,0.00,0.00000000,BAR
16,1704068220.0,1000.00,1000.00,0.00,0.00000000,BAR
17,1704068280.0,1000.00,1000.00,0.00,0.00000000,BAR
18,1704068340.0,1000.00,1000.00,0.00,0.00000000,BAR
19,1704068400.0,1000.00,1000.00,0.00,0.00000000,BAR
20,1704068460.0,1000.00,1000.00,0.00,0.00000000,BAR
21,1704068520.0,1000.00,1000.00,0.00,0.00000000,BAR
22,1704068580.0,1000.00,1000.00,0.00,0.00000000,BAR
23,1704068640.0,1000.00,1000.00,0.00,0.00000000,BAR
24,1704068700.0,1000.00,1000.00,0.00,0.00000000,BAR
25,1704068760.0,1000.00,1000.00,0.00,0.00000000,BAR
26,1704068820.0,1000.00,1000.00,0.00,0.00000000,BAR
27,1704068880.0,1000.00,1000.00,0.00,0.00000000,BAR
28,1704068940.0,1000.00,1000.00,0.00,0.00000000,BAR
29,1704069000.0,1000.00,1000.00,0.00,0.00000000,BAR
30,1704069060.0,1000.00,1000.00,0.00,0.00000000,BAR
31,1704069120.0,1000.00,1000.00,0.00,0.00000000,BAR
32,1704069180.0,1000.00,1000.00,0.00,0.00000000,BAR
33,1704069240.0,1000.00,1000.00,0.00,0.00000000,BAR
34,1704069300.0,1000.00,1000.00,0.00,0.00000000,BAR
35,1704069360.0,1000.00,1000.00,0.00,0.00000000,BAR
36,1704069420.0,1000.00,1000.00,0.00,0.00000000,BAR
