Bar,Timestamp,Equity,Balance,UnrealizedPnL,PositionQty,Type
0,1704397260.0,30.00,30.00,0.00,0.00000000,BAR
1,1704397320.0,30.00,30.00,0.00,0.00000000,BAR
2,1704397380.0,30.00,30.00,0.00,0.00000000,BAR
3,1704397440.0,30.00,30.00,0.00,0.00000000,BAR
4,1704397500.0,30.00,30.00,0.00,0.00000000,BAR
5,1704397560.0,30.00,30.00,0.00,0.00000000,BAR
6,1704397620.0,30.00,30.00,0.00,0.00000000,BAR
7,1704397680.0,30.00,30.00,0.00,0.00000000,BAR
8,1704397740.0,30.00,30.00,0.00,0.00000000,BAR
9,1704397800.0,30.00,30.00,0.00,0.00000000,BAR
10,1704397860.0,30.00,30.00,0.00,0.00000000,BAR
11,1704397920.0,30.00,30.00,0.00,0.00000000,BAR
12,1704397980.0,30.00,30.00,0.00,0.00000000,BAR
13,1704398040.0,30.00,30.00,0.00,0.00000000,BAR
14,1704398100.0,30.00,30.00,0.00,0.00000000,BAR
15,1704398160.0,30.00,30.00,0.00,0.00000000,BAR
16,1704398220.0,30.00,30.00,0.00,0.00000000,BAR
17,1704398280.0,30.00,30.00,0.00,0.00000000,BAR
18,1704398340.0,30.00,30.00,0.00,0.00000000,BAR
19,1704398400.0,30.00,30.00,0.00,0.00000000,BAR
20,1704398460.0,30.00,30.00,0.00,0.00000000,BAR
21,1704398520.0,30.00,30.00,0.00,0.00000000,BAR
22,1704398580.0,30.00,30.00,0.00,0.00000000,BAR
23,1704398640.0,30.00,30.00,0.00,0.00000000,BAR
24,1704398700.0,30.00,30.00,0.00,0.00000000,BAR
25,1704398760.0,30.00,30.00,0.00,0.00000000,BAR
26,1704398820.0,30.00,30.00,0.00,0.00000000,BAR
27,1704398880.0,30.00,30.00,0.00,0.00000000,BAR
28,1704398940.0,30.00,30.00,0.00,0.00000000,BAR
29,1704399000.0,30.00,30.00,0.00,0.00000000,BAR
30,1704399060.0,30.00,30.00,0.00,0.00000000,BAR
31,1704399120.0,30.00,30.00,0.00,0.00000000,BAR
32,1704399180.0,30.00,30.00,0.00,0.00000000,BAR
33,1704399240.0,30.00,30.00,0.00,0.00000000,BAR
34,1704399300.0,30.00,30.00,0.00,0.00000000,BAR
35,1704399360.0,30.00,30.00,0.00,0.00000000,BAR
36,1704399420.0,30.00,30.00,0.00,0.00000000,BAR
37,1704399480.0,30.00,30.00,0.00,0.00000000,BAR
38,1704399540.0,30.00,30.00,0.00,0.00000000,BAR
39,1704399600.0,30.00,30.00,0.00,0.00000000,BAR
40,1704399660.0,30.00,30.00,0.00,0.00000000,BAR
41,1704399720.0,30.00,30.00,0.00,0.00000000,BAR
42,1704399780.0,30.00,30.00,0.00,0.00000000,BAR
43,1704399840.0,30.00,30.00,0.00,0.00000000,BAR
