Bar,Timestamp,Equity,Balance,UnrealizedPnL,PositionQty,Type
0,1704367260.0,30.00,30.00,0.00,0.00000000,BAR
1,1704367320.0,30.00,30.00,0.00,0.00000000,BAR
2,1704367380.0,30.00,30.00,0.00,0.00000000,BAR
3,1704367440.0,30.00,30.00,0.00,0.00000000,BAR
4,1704367500.0,30.00,30.00,0.00,0.00000000,BAR
5,1704367560.0,30.00,30.00,0.00,0.00000000,BAR
6,1704367620.0,30.00,30.00,0.00,0.00000000,BAR
7,1704367680.0,30.00,30.00,0.00,0.00000000,BAR
8,1704367740.0,30.00,30.00,0.00,0.00000000,BAR
9,1704367800.0,30.00,30.00,0.00,0.00000000,BAR
10,1704367860.0,30.00,30.00,0.00,0.00000000,BAR
11,1704367920.0,30.00,30.00,0.00,0.00000000,BAR
12,1704367980.0,30.00,30.00,0.00,0.00000000,BAR
13,1704368040.0,30.00,30.00,0.00,0.00000000,BAR
14,1704368100.0,30.00,30.00,0.00,0.00000000,BAR
15,1704368160.0,30.00,30.00,0.00,0.00000000,BAR
16,1704368220.0,30.00,30.00,0.00,0.00000000,BAR
17,1704368280.0,30.00,30.00,0.00,0.00000000,BAR
18,1704368340.0,30.00,30.00,0.00,0.00000000,BAR
19,1704368400.0,30.00,30.00,0.00,0.00000000,BAR
20,1704368460.0,30.00,30.00,0.00,0.00000000,BAR
21,1704368520.0,30.00,30.00,0.00,0.00000000,BAR
22,1704368580.0,30.00,30.00,0.00,0.00000000,BAR
23,1704368640.0,30.00,30.00,0.00,0.00000000,BAR
24,1704368700.0,30.00,30.00,0.00,0.00000000,BAR
25,1704368760.0,30.00,30.00,0.00,0.00000000,BAR
26,1704368820.0,30.00,30.00,0.00,0.00000000,BAR
27,1704368880.0,30.00,30.00,0.00,0.00000000,BAR
28,1704368940.0,30.00,30.00,0.00,0.00000000,BAR
29,1704369000.0,30.00,30.00,0.00,0.00000000,BAR
30,1704369060.0,30.00,30.00,0.00,0.00000000,BAR
31,1704369120.0,30.00,30.00,0.00,0.00000000,BAR
32,1704369180.0,30.00,30.00,0.00,0.00000000,BAR
33,1704369240.0,30.00,30.00,0.00,0.00000000,BAR
34,1704369300.0,30.00,30.00,0.00,0.00000000,BAR
35,1704369360.0,30.00,30.00,0.00,0.00000000,BAR
36,1704369420.0,30.00,30.00,0.00,0.00000000,BAR
37,1704369480.0,30.00,30.00,0.00,0.00000000,BAR
38,1704369540.0,30.00,30.00,0.00,0.00000000,BAR
39,1704369600.0,30.00,30.00,0.00,0.00000000,BAR
40,1704369660.0,30.00,30.00,0.00,0.00000000,BAR
41,1704369720.0,30.00,30.00,0.00,0.00000000,BAR
42,1704369780.0,30.00,30.00,0.00,0.00000000,BAR
43,1704369840.0,30.00,30.00,0.00,0.00000000,BAR
44,1704369900.0,30.00,30.00,0.00,0.00000000,BAR
45,1704369960.0,30.00,30.00,0.00,0.00000000,BAR
46,1704370020.0,30.00,30.00,0.00,0.00000000,BAR
47,1704370080.0,30.00,30.00,0.00,0.00000000,BAR
48,1704370140.0,30.00,30.00,0.00,0.00000000,BAR
49,1704370200.0,30.00,30.00,0.00,0.00000000,BAR
50,1704370260.0,30.00,30.00,0.00,0.00000000,BAR
51,1704370320.0,30.00,30.00,0.00,0.00000000,BAR
52,1704370380.0,30.00,30.00,0.00,0.00000000,BAR
53,1704370440.0,30.00,30.00,0.00,0.00000000,BAR
54,1704370500.0,30.00,30.00,0.00,0.00000000,BAR
55,1704370560.0,30.00,30.00,0.00,0.00000000,BAR
56,1704370620.0,30.00,30.00,0.00,0.00000000,BAR
57,1704370680.0,30.00,30.00,0.00,0.00000000,BAR
58,1704370740.0,30.00,30.00,0.00,0.00000000,BAR
59,1704370800.0,30.00,30.00,0.00,0.00000000,BAR
60,1704370860.0,30.00,30.00,0.00,0.00000000,BAR
61,1704370920.0,30.00,30.00,0.00,0.00000000,BAR
62,1704370980.0,30.00,30.00,0.00,0.00000000,BAR
63,1704371040.0,30.00,30.00,0.00,0.00000000,BAR
64,1704371100.0,30.00,30.00,0.00,0.00000000,BAR
65,1704371160.0,30.00,30.00,0.00,0.00000000,BAR
66,1704371220.0,30.00,30.00,0.00,0.00000000,BAR
67,1704371280.0,30.00,30.00,0.00,0.00000000,BAR
68,1704371340.0,30.00,30.00,0.00,0.00000000,BAR
69,1704371400.0,30.00,30.00,0.00,0.00000000,BAR
70,1704371460.0,30.00,30.00,0.00,0.00000000,BAR
71,1704371520.0,30.00,30.00,0.00,0.00000000,BAR
72,1704371580.0,30.00,30.00,0.00,0.00000000,BAR
73,1704371640.0,30.00,30.00,0.00,0.00000000,BAR
74,1704371700.0,30.00,30.00,0.00,0.00000000,BAR
75,1704371760.0,30.00,30.00,0.00,0.00000000,BAR
76,1704371820.0,30.00,30.00,0.00,0.00000000,BAR
77,1704371880.0,30.00,30.00,0.00,0.00000000,BAR
78,1704371940.0,30.00,30.00,0.00,0.00000000,BAR
79,1704372000.0,30.00,30.00,0.00,0.00000000,BAR
80,1704372060.0,30.00,30.00,0.00,0.00000000,BAR
81,1704372120.0,30.00,30.00,0.00,0.00000000,BAR
82,1704372180.0,30.00,30.00,0.00,0.00000000,BAR
83,1704372240.0,30.00,30.00,0.00,0.00000000,BAR
84,1704372300.0,30.00,30.00,0.00,0.00000000,BAR
85,1704372360.0,30.00,30.00,0.00,0.00000000,BAR
86,1704372420.0,30.00,30.00,0.00,0.00000000,BAR
87,1704372480.0,30.00,30.00,0.00,0.00000000,BAR
