Timestamp,Symbol,Reason,Details,Meta
1704403140.0,BTCUSDT,SizingDebug,Qty:-0.000384,4677.46|0.9000|0.000192|-0.000385|-0.000384|-233873.01|-238550.47|-224518.08|3.0|30.00
1704403140.0,BTCUSDT,Exec Failed,"Qty calculated to 0. (RiskPct=0.03, Rules Min=1e-08)",Prof:DEGEN Lev:3.0
1704403200.0,BTCUSDT,SizingDebug,Qty:-0.000384,4678.46|0.9000|0.000192|-0.000385|-0.000384|-233922.98|-238601.44|-224566.06|3.0|30.00
1704403200.0,BTCUSDT,Exec Failed,"Qty calculated to 0. (RiskPct=0.03, Rules Min=1e-08)",Prof:DEGEN Lev:3.0
1704403260.0,BTCUSDT,SizingDebug,Qty:-0.000384,4679.46|0.9000|0.000192|-0.000385|-0.000384|-233972.96|-238652.41|-224614.04|3.0|30.00
1704403260.0,BTCUSDT,Exec Failed,"Qty calculated to 0. (RiskPct=0.03, Rules Min=1e-08)",Prof:DEGEN Lev:3.0
1704403320.0,BTCUSDT,SizingDebug,Qty:-0.000384,4680.46|0.9000|0.000192|-0.000385|-0.000384|-234022.93|-238703.39|-224662.01|3.0|30.00
1704403320.0,BTCUSDT,Exec Failed,"Qty calculated to 0. (RiskPct=0.03, Rules Min=1e-08)",Prof:DEGEN Lev:3.0
1704403380.0,BTCUSDT,SizingDebug,Qty:-0.000384,4681.46|0.9000|0.000192|-0.000384|-0.000384|-234072.90|-238754.36|-224709.99|3.0|30.00
1704403380.0,BTCUSDT,Exec Failed,"Qty calculated to 0. (RiskPct=0.03, Rules Min=1e-08)",Prof:DEGEN Lev:3.0
1704403440.0,BTCUSDT,SizingDebug,Qty:-0.000384,4682.46|0.9000|0.000192|-0.000384|-0.000384|-234122.88|-238805.34|-224757.96|3.0|30.00
1704403440.0,BTCUSDT,Exec Failed,"Qty calculated to 0. (RiskPct=0.03, Rules Min=1e-08)",Prof:DEGEN Lev:3.0
1704403500.0,BTCUSDT,SizingDebug,Qty:-0.000384,4683.46|0.9000|0.000192|-0.000384|-0.000384|-234172.86|-238856.31|-224805.94|3.0|30.00
1704403500.0,BTCUSDT,Exec Failed,"Qty calculated to 0. (RiskPct=0.03, Rules Min=1e-08)",Prof:DEGEN Lev:3.0
1704403560.0,BTCUSDT,SizingDebug,Qty:-0.000384,4684.46|0.9000|0.000192|-0.000384|-0.000384|-234222.83|-238907.29|-224853.92|3.0|30.00
1704403560.0,BTCUSDT,Exec Failed,"Qty calculated to 0. (RiskPct=0.03, Rules Min=1e-08)",Prof:DEGEN Lev:3.0
1704403620.0,BTCUSDT,SizingDebug,Qty:-0.000384,4685.46|0.9000|0.000192|-0.000384|-0.000384|-234272.81|-238958.26|-224901.89|3.0|30.00
1704403620.0,BTCUSDT,Exec Failed,"Qty calculated to 0. (RiskPct=0.03, Rules Min=1e-08)",Prof:DEGEN Lev:3.0
1704403680.0,BTCUSDT,SizingDebug,Qty:-0.000384,4686.46|0.9000|0.000192|-0.000384|-0.000384|-234322.78|-239009.24|-224949.87|3.0|30.00
1704403680.0,BTCUSDT,Exec Failed,"Qty calculated to 0. (RiskPct=0.03, Rules Min=1e-08)",Prof:DEGEN Lev:3.0
1704403740.0,BTCUSDT,SizingDebug,Qty:-0.000383,4687.46|0.9000|0.000192|-0.000384|-0.000383|-234372.76|-239060.21|-224997.84|3.0|30.00
1704403740.0,BTCUSDT,Exec Failed,"Qty calculated to 0. (RiskPct=0.03, Rules Min=1e-08)",Prof:DEGEN Lev:3.0
1704403800.0,BTCUSDT,SizingDebug,Qty:-0.000383,4688.45|0.9000|0.000192|-0.000384|-0.000383|-234422.73|-239111.18|-225045.82|3.0|30.00
1704403800.0,BTCUSDT,Exec Failed,"Qty calculated to 0. (RiskPct=0.03, Rules Min=1e-08)",Prof:DEGEN Lev:3.0
1704403860.0,BTCUSDT,SizingDebug,Qty:-0.000383,4689.45|0.9000|0.000192|-0.000384|-0.000383|-234472.71|-239162.16|-225093.80|3.0|30.00
1704403860.0,BTCUSDT,Exec Failed,"Qty calculated to 0. (RiskPct=0.03, Rules Min=1e-08)",Prof:DEGEN Lev:3.0
1704403920.0,BTCUSDT,SizingDebug,Qty:-0.000383,4690.45|0.9000|0.000192|-0.000384|-0.000383|-234522.68|-239213.13|-225141.77|3.0|30.00
1704403920.0,BTCUSDT,Exec Failed,"Qty calculated to 0. (RiskPct=0.03, Rules Min=1e-08)",Prof:DEGEN Lev:3.0
1704403980.0,BTCUSDT,SizingDebug,Qty:-0.000383,4691.45|0.9000|0.000192|-0.000384|-0.000383|-234572.65|-239264.11|-225189.75|3.0|30.00
1704403980.0,BTCUSDT,Exec Failed,"Qty calculated to 0. (RiskPct=0.03, Rules Min=1e-08)",Prof:DEGEN Lev:3.0
1704404040.0,BTCUSDT,SizingDebug,Qty:-0.000383,4692.45|0.9000|0.000192|-0.000384|-0.000383|-234622.63|-239315.08|-225237.72|3.0|30.00
1704404040.0,BTCUSDT,Exec Failed,"Qty calculated to 0. (RiskPct=0.03, Rules Min=1e-08)",Prof:DEGEN Lev:3.0
1704404100.0,BTCUSDT,SizingDebug,Qty:-0.000383,4693.45|0.9000|0.000192|-0.000384|-0.000383|-234672.61|-239366.06|-225285.70|3.0|30.00
1704404100.0,BTCUSDT,Exec Failed,"Qty calculated to 0. (RiskPct=0.03, Rules Min=1e-08)",Prof:DEGEN Lev:3.0
1704404160.0,BTCUSDT,SizingDebug,Qty:-0.000383,4694.45|0.9000|0.000192|-0.000383|-0.000383|-234722.58|-239417.03|-225333.68|3.0|30.00
1704404160.0,BTCUSDT,Exec Failed,"Qty calculated to 0. (RiskPct=0.03, Rules Min=1e-08)",Prof:DEGEN Lev:3.0
1704404220.0,BTCUSDT,SizingDebug,Qty:-0.000383,4695.45|0.9000|0.000192|-0.000383|-0.000383|-234772.56|-239468.01|-225381.65|3.0|30.00
1704404220.0,BTCUSDT,Exec Failed,"Qty calculated to 0. (RiskPct=0.03, Rules Min=1e-08)",Prof:DEGEN Lev:3.0
