Timestamp,Symbol,Reason,Details,Meta
1704097080.0,BTCUSDT,SizingDebug,Qty:0.002138,420.99|0.9000|0.002138|0.004276|0.002138|21049.47|21470.46|20207.49|3.0|30.00
1704098400.0,BTCUSDT,SizingDebug,Qty:0.002384,399.00|0.9514|0.002384|0.004769|0.002384|19950.02|20349.02|19152.02|3.0|31.71
1704099660.0,BTCUSDT,SizingDebug,Qty:0.003991,378.01|1.5085|0.003991|0.005321|0.003991|18900.55|19278.56|18144.52|3.0|33.52
1704100860.0,BTCUSDT,SizingDebug,Qty:0.004574,358.02|1.6376|0.004574|0.006099|0.004574|17901.05|18259.07|17185.00|3.0|36.39
1704102000.0,BTCUSDT,SizingDebug,Qty:0.005244,339.03|1.7777|0.005244|0.006991|0.005244|16951.52|17290.55|16273.46|3.0|39.50
1704103140.0,BTCUSDT,SizingDebug,Qty:0.006030,320.04|1.9299|0.006030|0.008040|0.006030|16002.00|16322.03|15361.92|3.0|42.89
1704104220.0,BTCUSDT,SizingDebug,Qty:0.006936,302.05|2.0951|0.006936|0.009248|0.006936|15102.45|15404.49|14498.35|3.0|46.56
1704105240.0,BTCUSDT,SizingDebug,Qty:0.007979,285.06|2.2744|0.007979|0.010638|0.007979|14252.87|14537.93|13682.76|3.0|50.54
1704106200.0,BTCUSDT,SizingDebug,Qty:0.009176,269.07|2.4690|0.009176|0.012235|0.009176|13453.27|13722.34|12915.14|3.0|54.87
1704107160.0,BTCUSDT,SizingDebug,Qty:0.010591,253.07|2.6804|0.010591|0.014122|0.010591|12653.67|12906.74|12147.52|3.0|59.56
1704108060.0,BTCUSDT,SizingDebug,Qty:0.012222,238.08|2.9098|0.012222|0.016296|0.012222|11904.05|12142.13|11427.88|3.0|64.66
1704108960.0,BTCUSDT,SizingDebug,Qty:0.014160,223.09|3.1588|0.014160|0.018879|0.014160|11154.42|11377.51|10708.24|3.0|70.20
1704109800.0,BTCUSDT,SizingDebug,Qty:0.016400,209.10|3.4292|0.016400|0.021867|0.016400|10454.77|10663.87|10036.58|3.0|76.20
1704110580.0,BTCUSDT,SizingDebug,Qty:0.018983,196.10|3.7227|0.018983|0.025311|0.018983|9805.10|10001.20|9412.89|3.0|82.73
1704111360.0,BTCUSDT,SizingDebug,Qty:0.022071,183.11|4.0413|0.022071|0.029427|0.022071|9155.42|9338.53|8789.20|3.0|89.81
1704112080.0,BTCUSDT,SizingDebug,Qty:0.025639,171.11|4.3872|0.025639|0.034185|0.025639|8555.72|8726.83|8213.49|3.0|97.49
1704112800.0,BTCUSDT,SizingDebug,Qty:0.014966,159.12|2.3814|0.014966|0.026606|0.014966|7956.02|8115.14|7637.78|2.0|105.84
1704113460.0,BTCUSDT,SizingDebug,Qty:0.016765,148.13|2.4833|0.016765|0.029804|0.016765|7406.30|7554.42|7110.04|2.0|110.37
1704114120.0,BTCUSDT,SizingDebug,Qty:0.018884,137.13|2.5895|0.018884|0.033571|0.018884|6856.57|6993.70|6582.31|2.0|115.09
1704114720.0,BTCUSDT,SizingDebug,Qty:0.021240,127.14|2.7004|0.021240|0.037760|0.021240|6356.82|6483.96|6102.55|2.0|120.02
1704115320.0,BTCUSDT,SizingDebug,Qty:0.024039,117.14|2.8159|0.024039|0.042735|0.024039|5857.07|5974.21|5622.79|2.0|125.15
1704115920.0,BTCUSDT,SizingDebug,Qty:0.027406,107.15|2.9364|0.027406|0.048721|0.027406|5357.32|5464.47|5143.03|2.0|130.51
1704116460.0,BTCUSDT,SizingDebug,Qty:0.031198,98.15|3.0621|0.031198|0.055463|0.031198|4907.55|5005.70|4711.24|2.0|136.09
1704117000.0,BTCUSDT,SizingDebug,Qty:0.035815,89.16|3.1931|0.035815|0.063672|0.035815|4457.77|4546.93|4279.46|2.0|141.92
1704117540.0,BTCUSDT,SizingDebug,Qty:0.041539,80.16|3.3298|0.041539|0.073848|0.041539|4008.00|4088.15|3847.68|2.0|147.99
1704118020.0,BTCUSDT,SizingDebug,Qty:0.048117,72.16|3.4723|0.048117|0.085541|0.048117|3608.20|3680.36|3463.87|2.0|154.32
1704118500.0,BTCUSDT,SizingDebug,Qty:0.056428,64.17|3.6209|0.056428|0.100317|0.056428|3208.39|3272.56|3080.06|2.0|160.93
1704118920.0,BTCUSDT,SizingDebug,Qty:0.066044,57.17|3.7758|0.066044|0.117412|0.066044|2858.57|2915.74|2744.23|2.0|167.81
1704119340.0,BTCUSDT,SizingDebug,Qty:0.078474,50.17|3.9374|0.078474|0.139509|0.078474|2508.75|2558.92|2408.40|2.0|175.00
1704119760.0,BTCUSDT,SizingDebug,Qty:0.095092,43.18|4.1059|0.095092|0.169052|0.095092|2158.92|2202.10|2072.56|2.0|182.49
1704120180.0,BTCUSDT,SizingDebug,Qty:0.118336,36.18|4.2816|0.118336|0.210376|0.118336|1809.10|1845.28|1736.73|2.0|190.29
1704120540.0,BTCUSDT,SizingDebug,Qty:0.147917,30.18|4.4649|0.147917|0.262964|0.147917|1509.25|1539.43|1448.88|2.0|198.44
1704120900.0,BTCUSDT,SizingDebug,Qty:0.192490,24.19|4.6559|0.192490|0.342205|0.192490|1209.39|1233.58|1161.02|2.0|206.93
