Timestamp,Symbol,Reason,Details,Meta
1704073140.0,SAMPLE,SizingDebug,Qty:0.001098,819.79|0.9000|0.001098|0.002196|0.001098|40989.50|41809.28|39349.92|3.0|30.00
1704075420.0,SAMPLE,SizingDebug,Qty:0.001217,781.81|0.9514|0.001217|0.002434|0.001217|39090.44|39872.25|37526.83|3.0|31.71
1704077640.0,SAMPLE,SizingDebug,Qty:0.002025,744.83|1.5085|0.002025|0.002700|0.002025|37241.37|37986.20|35751.72|3.0|33.52
1704079740.0,SAMPLE,SizingDebug,Qty:0.002307,709.84|1.6376|0.002307|0.003076|0.002307|35492.25|36202.09|34072.56|3.0|36.39
1704081780.0,SAMPLE,SizingDebug,Qty:0.002630,675.86|1.7777|0.002630|0.003507|0.002630|33793.10|34468.96|32441.37|3.0|39.50
1704083700.0,SAMPLE,SizingDebug,Qty:0.002997,643.88|1.9299|0.002997|0.003996|0.002997|32193.90|32837.77|30906.14|3.0|42.89
1704085560.0,SAMPLE,SizingDebug,Qty:0.003418,612.89|2.0951|0.003418|0.004558|0.003418|30644.67|31257.56|29418.88|3.0|46.56
1704087360.0,SAMPLE,SizingDebug,Qty:0.003902,582.91|2.2744|0.003902|0.005202|0.003902|29145.42|29728.33|27979.60|3.0|50.54
1704089100.0,SAMPLE,SizingDebug,Qty:0.004457,553.92|2.4690|0.004457|0.005943|0.004457|27696.15|28250.07|26588.30|3.0|54.87
1704090720.0,SAMPLE,SizingDebug,Qty:0.005087,526.94|2.6804|0.005087|0.006782|0.005087|26346.82|26873.76|25292.95|3.0|59.56
1704092280.0,SAMPLE,SizingDebug,Qty:0.005809,500.95|2.9098|0.005809|0.007745|0.005809|25047.47|25548.42|24045.57|3.0|64.66
1704093780.0,SAMPLE,SizingDebug,Qty:0.006637,475.96|3.1588|0.006637|0.008849|0.006637|23798.10|24274.06|22846.17|3.0|70.20
1704095220.0,SAMPLE,SizingDebug,Qty:0.007587,451.97|3.4292|0.007587|0.010116|0.007587|22598.69|23050.67|21694.75|3.0|76.20
1704096600.0,SAMPLE,SizingDebug,Qty:0.008678,428.99|3.7227|0.008678|0.011571|0.008678|21449.27|21878.26|20591.30|3.0|82.73
1704097920.0,SAMPLE,SizingDebug,Qty:0.009930,407.00|4.0413|0.009930|0.013239|0.009930|20349.82|20756.82|19535.83|3.0|89.81
1704099180.0,SAMPLE,SizingDebug,Qty:0.011366,386.01|4.3872|0.011366|0.015154|0.011366|19300.35|19686.35|18528.33|3.0|97.49
1704100440.0,SAMPLE,SizingDebug,Qty:0.006524,365.02|2.3814|0.006524|0.011598|0.006524|18250.87|18615.89|17520.84|2.0|105.84
1704101640.0,SAMPLE,SizingDebug,Qty:0.007197,345.03|2.4833|0.007197|0.012795|0.007197|17251.37|17596.40|16561.32|2.0|110.37
1704102780.0,SAMPLE,SizingDebug,Qty:0.007942,326.04|2.5895|0.007942|0.014120|0.007942|16301.85|16627.88|15649.77|2.0|115.09
1704103860.0,SAMPLE,SizingDebug,Qty:0.008766,308.05|2.7004|0.008766|0.015584|0.008766|15402.30|15710.34|14786.20|2.0|120.02
1704104880.0,SAMPLE,SizingDebug,Qty:0.009675,291.05|2.8159|0.009675|0.017200|0.009675|14552.72|14843.77|13970.61|2.0|125.15
