Bar,Timestamp,Equity,Balance,UnrealizedPnL,PositionQty,Type
0,1704118200.0,1000.00,1000.00,0.00,0.00000000,BAR
1,1704118260.0,1000.00,1000.00,0.00,0.00000000,BAR
2,1704118320.0,1000.00,1000.00,0.00,0.00000000,BAR
3,1704118380.0,1000.00,1000.00,0.00,0.00000000,BAR
4,1704118440.0,1000.00,1000.00,0.00,0.00000000,BAR
5,1704118500.0,1000.00,1000.00,0.00,0.00000000,BAR
6,1704118560.0,1000.00,1000.00,0.00,0.00000000,BAR
7,1704118620.0,1000.00,1000.00,0.00,0.00000000,BAR
8,1704118680.0,1000.00,1000.00,0.00,0.00000000,BAR
9,1704118740.0,1000.00,1000.00,0.00,0.00000000,BAR
10,1704118800.0,1000.00,1000.00,0.00,0.00000000,BAR
11,1704118860.0,1000.00,1000.00,0.00,0.00000000,BAR
12,1704118920.0,1000.00,1000.00,0.00,0.00000000,BAR
13,1704118980.0,1000.00,1000.00,0.00,0.00000000,BAR
14,1704119040.0,1000.00,1000.00,0.00,0.00000000,BAR
15,1704119100.0,1000.00,1000.00,0.00,0.00000000,BAR
16,1704119160.0,1000.00,1000.00,0.00,0.00000000,BAR
17,1704119220.0,1000.00,1000.00,0.00,0.00000000,BAR
18,1704119280.0,1000.00,1000.00,0.00,0.00000000,BAR
19,1704119340.0,1000.00,1000.00,0.00,0.00000000,BAR
20,1704119400.0,1000.00,1000.00,0.00,0.00000000,BAR
21,1704119460.0,1000.00,1000.00,0.00,0.00000000,BAR
22,1704119520.0,1000.00,1000.00,0.00,0.00000000,BAR
23,1704119580.0,1000.00,1000.00,0.00,0.00000000,BAR
24,1704119640.0,1000.00,1000.00,0.00,0.00000000,BAR
25,1704119700.0,1000.00,1000.00,0.00,0.00000000,BAR
26,1704119760.0,1000.00,1000.00,0.00,0.00000000,BAR
27,1704119820.0,1000.00,1000.00,0.00,0.00000000,BAR
28,1704119880.0,1000.00,1000.00,0.00,0.00000000,BAR
29,1704119940.0,1000.00,1000.00,0.00,0.00000000,BAR
30,1704120000.0,1000.00,1000.00,0.00,0.00000000,BAR
31,1704120060.0,1000.00,1000.00,0.00,0.00000000,BAR
32,1704120120.0,1000.00,1000.00,0.00,0.00000000,BAR
33,1704120180.0,1000.00,1000.00,0.00,0.00000000,BAR
34,1704120240.0,1000.00,1000.00,0.00,0.00000000,BAR
35,1704120300.0,1000.00,1000.00,0.00,0.00000000,BAR
36,1704120360.0,1000.00,1000.00,0.00,0.00000000,BAR
37,1704120420.0,1000.00,1000.00,0.00,0.00000000,BAR
38,1704120480.0,1000.00,1000.00,0.00,0.00000000,BAR
39,1704120540.0,1000.00,1000.00,0.00,0.00000000,BAR
40,1704120600.0,1000.00,1000.00,0.00,0.00000000,BAR
41,1704120660.0,1000.00,1000.00,0.00,0.00000000,BAR
42,1704120720.0,1000.00,1000.00,0.00,0.00000000,BAR
43,1704120780.0,1000.00,1000.00,0.00,0.00000000,BAR
44,1704120840.0,1000.00,1000.00,0.00,0.00000000,BAR
45,1704120900.0,1000.00,1000.00,0.00,0.00000000,BAR
46,1704120960.0,1000.00,1000.00,0.00,0.00000000,BAR
47,1704121020.0,1000.00,1000.00,0.00,0.00000000,BAR
48,1704121080.0,1000.00,1000.00,0.00,0.00000000,BAR
