Timestamp,Symbol,Reason,Details,Meta
1704115080.0,BTCUSDT,SizingDebug,Qty:0.007429,121.14|0.9000|0.007429|0.014859|0.007429|6056.97|6178.11|5814.69|3.0|30.00
1704115680.0,BTCUSDT,SizingDebug,Qty:0.008560,111.14|0.9514|0.008560|0.017119|0.008560|5557.22|5668.36|5334.93|3.0|31.71
1704116220.0,BTCUSDT,SizingDebug,Qty:0.014767,102.15|1.5085|0.014767|0.019690|0.014767|5107.45|5209.59|4903.15|3.0|33.52
1704116760.0,BTCUSDT,SizingDebug,Qty:0.017579,93.15|1.6376|0.017579|0.023439|0.017579|4657.67|4750.82|4471.36|3.0|36.39
1704117300.0,BTCUSDT,SizingDebug,Qty:0.021124,84.16|1.7777|0.021124|0.028165|0.021124|4207.90|4292.05|4039.58|3.0|39.51
1704117780.0,BTCUSDT,SizingDebug,Qty:0.025339,76.16|1.9299|0.025339|0.033786|0.025339|3808.10|3884.26|3655.77|3.0|42.89
1704118260.0,BTCUSDT,SizingDebug,Qty:0.030735,68.17|2.0951|0.030735|0.040980|0.030735|3408.30|3476.46|3271.96|3.0|46.56
1704118740.0,BTCUSDT,SizingDebug,Qty:0.037799,60.17|2.2744|0.037799|0.050399|0.037799|3008.50|3068.66|2888.16|3.0|50.54
1704119160.0,BTCUSDT,SizingDebug,Qty:0.046434,53.17|2.4690|0.046434|0.061912|0.046434|2658.67|2711.84|2552.32|3.0|54.87
1704119580.0,BTCUSDT,SizingDebug,Qty:0.058046,46.18|2.6804|0.058046|0.077394|0.058046|2308.85|2355.02|2216.49|3.0|59.56
1704120000.0,BTCUSDT,SizingDebug,Qty:0.074266,39.18|2.9098|0.074266|0.099022|0.074266|1959.02|1998.20|1880.66|3.0|64.66
1704120360.0,BTCUSDT,SizingDebug,Qty:0.095193,33.18|3.1588|0.095193|0.126924|0.095193|1659.17|1692.35|1592.80|3.0|70.20
1704120720.0,BTCUSDT,SizingDebug,Qty:0.126136,27.19|3.4292|0.126136|0.168182|0.126136|1359.32|1386.51|1304.95|3.0|76.20
1704121080.0,BTCUSDT,SizingDebug,Qty:0.175687,21.19|3.7227|0.175687|0.234249|0.175687|1059.47|1080.66|1017.09|3.0|82.73
