Timestamp,Symbol,Reason,Details,Meta
1704073140.0,BTCUSDT,SizingDebug,Qty:0.001830,819.79|1.5000|0.001830|0.004879|0.001830|40989.50|41809.28|39349.92|2.0|100.00
1704075420.0,BTCUSDT,SizingDebug,Qty:0.001973,781.81|1.5428|0.001973|0.005262|0.001973|39090.44|39872.25|37526.83|2.0|102.85
1704077640.0,BTCUSDT,SizingDebug,Qty:0.003196,744.83|2.3802|0.003196|0.005681|0.003196|37241.37|37986.20|35751.72|2.0|105.79
1704079740.0,BTCUSDT,SizingDebug,Qty:0.003497,709.84|2.4821|0.003497|0.006216|0.003497|35492.25|36202.09|34072.56|2.0|110.31
1704081780.0,BTCUSDT,SizingDebug,Qty:0.003830,675.86|2.5883|0.003830|0.006808|0.003830|33793.10|34468.96|32441.37|2.0|115.04
1704083700.0,BTCUSDT,SizingDebug,Qty:0.004192,643.88|2.6991|0.004192|0.007452|0.004192|32193.90|32837.77|30906.14|2.0|119.96
1704085560.0,BTCUSDT,SizingDebug,Qty:0.004592,612.89|2.8146|0.004592|0.008164|0.004592|30644.67|31257.56|29418.88|2.0|125.09
1704087360.0,BTCUSDT,SizingDebug,Qty:0.005035,582.91|2.9350|0.005035|0.008951|0.005035|29145.42|29728.33|27979.60|2.0|130.45
1704089100.0,BTCUSDT,SizingDebug,Qty:0.005525,553.92|3.0606|0.005525|0.009823|0.005525|27696.15|28250.07|26588.30|2.0|136.03
1704090720.0,BTCUSDT,SizingDebug,Qty:0.006057,526.94|3.1916|0.006057|0.010768|0.006057|26346.82|26873.76|25292.95|2.0|141.85
1704092280.0,BTCUSDT,SizingDebug,Qty:0.006644,500.95|3.3282|0.006644|0.011811|0.006644|25047.47|25548.42|24045.57|2.0|147.92
1704093780.0,BTCUSDT,SizingDebug,Qty:0.007292,475.96|3.4706|0.007292|0.012963|0.007292|23798.10|24274.06|22846.17|2.0|154.25
1704095220.0,BTCUSDT,SizingDebug,Qty:0.008007,451.97|3.6191|0.008007|0.014235|0.008007|22598.69|23050.67|21694.75|2.0|160.85
1704096600.0,BTCUSDT,SizingDebug,Qty:0.008798,428.99|3.7740|0.008798|0.015640|0.008798|21449.27|21878.26|20591.30|2.0|167.73
1704097920.0,BTCUSDT,SizingDebug,Qty:0.009670,407.00|3.9355|0.009670|0.017191|0.009670|20349.82|20756.82|19535.83|2.0|174.91
1704099180.0,BTCUSDT,SizingDebug,Qty:0.010632,386.01|4.1040|0.010632|0.018901|0.010632|19300.35|19686.35|18528.33|2.0|182.40
1704100440.0,BTCUSDT,SizingDebug,Qty:0.011724,365.02|4.2796|0.011724|0.020843|0.011724|18250.87|18615.89|17520.84|2.0|190.20
1704101640.0,BTCUSDT,SizingDebug,Qty:0.012934,345.03|4.4627|0.012934|0.022995|0.012934|17251.37|17596.40|16561.32|2.0|198.34
1704102780.0,BTCUSDT,SizingDebug,Qty:0.014274,326.04|4.6537|0.014274|0.025375|0.014274|16301.85|16627.88|15649.77|2.0|206.83
1704103860.0,BTCUSDT,SizingDebug,Qty:0.015754,308.05|4.8529|0.015754|0.028007|0.015754|15402.30|15710.34|14786.20|2.0|215.68
1704104880.0,BTCUSDT,SizingDebug,Qty:0.017387,291.05|5.0605|0.017387|0.030910|0.017387|14552.72|14843.77|13970.61|2.0|224.91
1704105900.0,BTCUSDT,SizingDebug,Qty:0.019255,274.06|5.2771|0.019255|0.034231|0.019255|13703.15|13977.21|13155.02|2.0|234.54
1704106860.0,BTCUSDT,SizingDebug,Qty:0.021323,258.07|5.5029|0.021323|0.037908|0.021323|12903.55|13161.62|12387.40|2.0|244.58
1704107760.0,BTCUSDT,SizingDebug,Qty:0.023607,243.08|5.7384|0.023607|0.041969|0.023607|12153.92|12397.00|11667.76|2.0|255.04
1704108660.0,BTCUSDT,SizingDebug,Qty:0.026236,228.09|5.9840|0.026236|0.046641|0.026236|11404.30|11632.38|10948.12|2.0|265.96
1704109500.0,BTCUSDT,SizingDebug,Qty:0.029147,214.09|6.2401|0.029147|0.051816|0.029147|10704.65|10918.74|10276.46|2.0|277.34
1704110340.0,BTCUSDT,SizingDebug,Qty:0.032519,200.10|6.5071|0.032519|0.057812|0.032519|10005.00|10205.09|9604.80|2.0|289.21
1704111120.0,BTCUSDT,SizingDebug,Qty:0.036266,187.11|6.7856|0.036266|0.064473|0.036266|9355.32|9542.43|8981.11|2.0|301.58
1704111840.0,BTCUSDT,SizingDebug,Qty:0.040408,175.11|7.0760|0.040408|0.071837|0.040408|8755.62|8930.73|8405.40|2.0|314.49
1704112560.0,BTCUSDT,SizingDebug,Qty:0.045236,163.12|7.3788|0.045236|0.080420|0.045236|8155.92|8319.04|7829.68|2.0|327.95
1704113280.0,BTCUSDT,SizingDebug,Qty:0.050916,151.12|7.6946|0.050916|0.090517|0.050916|7556.22|7707.34|7253.97|2.0|341.98
1704113940.0,BTCUSDT,SizingDebug,Qty:0.057260,140.13|8.0239|0.057260|0.101796|0.057260|7006.50|7146.62|6726.24|2.0|356.62
1704114600.0,BTCUSDT,SizingDebug,Qty:0.064795,129.14|8.3673|0.064795|0.115190|0.064795|6456.77|6585.91|6198.50|2.0|371.88
1704115200.0,BTCUSDT,SizingDebug,Qty:0.073236,119.14|8.7254|0.073236|0.130197|0.073236|5957.02|6076.16|5718.74|2.0|387.79
