Bar,Timestamp,Equity,Balance,UnrealizedPnL,PositionQty,Type
0,1704109200.0,30.00,30.00,0.00,0.00000000,BAR
1,1704109260.0,30.00,30.00,0.00,0.00000000,BAR
2,1704109320.0,30.00,30.00,0.00,0.00000000,BAR
3,1704109380.0,30.00,30.00,0.00,0.00000000,BAR
4,1704109440.0,30.00,30.00,0.00,0.00000000,BAR
5,1704109500.0,30.00,30.00,0.00,0.00000000,BAR
6,1704109560.0,30.00,30.00,0.00,0.00000000,BAR
7,1704109620.0,30.00,30.00,0.00,0.00000000,BAR
8,1704109680.0,30.00,30.00,0.00,0.00000000,BAR
9,1704109740.0,30.00,30.00,0.00,0.00000000,BAR
10,1704109800.0,30.00,30.00,0.00,0.00000000,BAR
11,1704109860.0,30.00,30.00,0.00,0.00000000,BAR
12,1704109920.0,30.00,30.00,0.00,0.00000000,BAR
13,1704109980.0,30.00,30.00,0.00,0.00000000,BAR
14,1704110040.0,30.00,30.00,0.00,0.00000000,BAR
15,1704110100.0,30.00,30.00,0.00,0.00000000,BAR
16,1704110160.0,30.00,30.00,0.00,0.00000000,BAR
17,1704110220.0,30.00,30.00,0.00,0.00000000,BAR
18,1704110280.0,30.00,30.00,0.00,0.00000000,BAR
19,1704110340.0,30.00,30.00,0.00,0.00000000,BAR
20,1704110400.0,30.00,30.00,0.00,0.00000000,BAR
21,1704110460.0,30.00,30.00,0.00,0.00000000,BAR
22,1704110520.0,30.00,30.00,0.00,0.00000000,BAR
23,1704110580.0,30.00,30.00,0.00,0.00000000,BAR
24,1704110640.0,30.00,30.00,0.00,0.00000000,BAR
25,1704110700.0,30.00,30.00,0.00,0.00000000,BAR
26,1704110760.0,30.00,30.00,0.00,0.00000000,BAR
27,1704110820.0,30.00,30.00,0.00,0.00000000,BAR
28,1704110880.0,30.00,30.00,0.00,0.00000000,BAR
29,1704110940.0,30.00,30.00,0.00,0.00000000,BAR
30,1704111000.0,30.00,30.00,0.00,0.00000000,BAR
31,1704111060.0,30.00,30.00,0.00,0.00000000,BAR
32,1704111120.0,30.00,30.00,0.00,0.00000000,BAR
33,1704111180.0,30.00,30.00,0.00,0.00000000,BAR
34,1704111240.0,30.00,30.00,0.00,0.00000000,BAR
35,1704111300.0,30.00,30.00,0.00,0.00000000,BAR
36,1704111360.0,30.00,30.00,0.00,0.00000000,BAR
37,1704111420.0,30.00,30.00,0.00,0.00000000,BAR
38,1704111480.0,30.00,30.00,0.00,0.00000000,BAR
39,1704111540.0,30.00,30.00,0.00,0.00000000,BAR
40,1704111600.0,30.00,30.00,0.00,0.00000000,BAR
41,1704111660.0,30.00,30.00,0.00,0.00000000,BAR
42,1704111720.0,30.00,30.00,0.00,0.00000000,BAR
43,1704111780.0,30.00,30.00,0.00,0.00000000,BAR
44,1704111840.0,30.00,30.00,0.00,0.00000000,BAR
45,1704111900.0,30.00,30.00,0.00,0.00000000,BAR
46,1704111960.0,30.00,30.00,0.00,0.00000000,BAR
47,1704112020.0,30.00,30.00,0.00,0.00000000,BAR
48,1704112080.0,30.00,30.00,0.00,0.00000000,BAR
49,1704112140.0,30.00,30.00,0.00,0.00000000,BAR
50,1704112200.0,30.00,30.00,0.00,0.00000000,BAR
51,1704112260.0,30.00,30.00,0.00,0.00000000,BAR
52,1704112320.0,30.00,30.00,0.00,0.00000000,BAR
53,1704112380.0,30.00,30.00,0.00,0.00000000,BAR
54,1704112440.0,30.00,30.00,0.00,0.00000000,BAR
55,1704112500.0,30.00,30.00,0.00,0.00000000,BAR
56,1704112560.0,30.00,30.00,0.00,0.00000000,BAR
57,1704112620.0,30.00,30.00,0.00,0.00000000,BAR
58,1704112680.0,30.00,30.00,0.00,0.00000000,BAR
59,1704112740.0,30.00,30.00,0.00,0.00000000,BAR
60,1704112800.0,30.00,30.00,0.00,0.00000000,BAR
61,1704112860.0,30.00,30.00,0.00,0.00000000,BAR
62,1704112920.0,30.00,30.00,0.00,0.00000000,BAR
63,1704112980.0,30.00,30.00,0.00,0.00000000,BAR
64,1704113040.0,30.00,30.00,0.00,0.00000000,BAR
65,1704113100.0,30.00,30.00,0.00,0.00000000,BAR
66,1704113160.0,30.00,30.00,0.00,0.00000000,BAR
67,1704113220.0,30.00,30.00,0.00,0.00000000,BAR
68,1704113280.0,30.00,30.00,0.00,0.00000000,BAR
69,1704113340.0,30.00,30.00,0.00,0.00000000,BAR
70,1704113400.0,30.00,30.00,0.00,0.00000000,BAR
71,1704113460.0,30.00,30.00,0.00,0.00000000,BAR
72,1704113520.0,30.00,30.00,0.00,0.00000000,BAR
73,1704113580.0,30.00,30.00,0.00,0.00000000,BAR
74,1704113640.0,30.00,30.00,0.00,0.00000000,BAR
75,1704113700.0,30.00,30.00,0.00,0.00000000,BAR
76,1704113760.0,30.00,30.00,0.00,0.00000000,BAR
77,1704113820.0,30.00,30.00,0.00,0.00000000,BAR
78,1704113880.0,30.00,30.00,0.00,0.00000000,BAR
79,1704113940.0,30.00,30.00,0.00,0.00000000,BAR
80,1704114000.0,30.00,30.00,0.00,0.00000000,BAR
81,1704114060.0,30.00,30.00,0.00,0.00000000,BAR
82,1704114120.0,30.00,30.00,0.00,0.00000000,BAR
83,1704114180.0,30.00,30.00,0.00,0.00000000,BAR
84,1704114240.0,30.00,30.00,0.00,0.00000000,BAR
85,1704114300.0,30.00,30.00,0.00,0.00000000,BAR
