Timestamp,Symbol,Key,Details,Meta
1704097080.0,BTCUSDT,SizingDebug,Qty:0.011877,420.99|5.0000|0.011877|0.047507|0.011877|21049.47|21470.46|20207.49|1.0|1000.00
1704098220.0,BTCUSDT,SizingDebug,Qty:0.012556,402.00|5.0475|0.012556|0.050225|0.012556|20099.94|20501.94|19295.95|1.0|1009.51
1704099300.0,BTCUSDT,SizingDebug,Qty:0.019904,384.01|7.6433|0.019904|0.053078|0.019904|19200.40|19584.40|18432.38|1.0|1019.11
1704100320.0,BTCUSDT,SizingDebug,Qty:0.021123,367.02|7.7524|0.021123|0.056327|0.021123|18350.82|18717.84|17616.79|1.0|1033.65
1704101340.0,BTCUSDT,SizingDebug,Qty:0.022464,350.02|7.8629|0.022464|0.059904|0.022464|17501.25|17851.27|16801.20|1.0|1048.39
1704102300.0,BTCUSDT,SizingDebug,Qty:0.023875,334.03|7.9751|0.023875|0.063667|0.023875|16701.65|17035.68|16033.58|1.0|1063.35
1704103200.0,BTCUSDT,SizingDebug,Qty:0.025354,319.04|8.0889|0.025354|0.067610|0.025354|15952.02|16271.06|15313.94|1.0|1078.52
1704104100.0,BTCUSDT,SizingDebug,Qty:0.026983,304.05|8.2043|0.026983|0.071956|0.026983|15202.40|15506.44|14594.30|1.0|1093.90
1704104940.0,BTCUSDT,SizingDebug,Qty:0.028689,290.05|8.3213|0.028689|0.076503|0.028689|14502.75|14792.80|13922.64|1.0|1109.51
1704105780.0,BTCUSDT,SizingDebug,Qty:0.030573,276.06|8.4400|0.030573|0.081528|0.030573|13803.10|14079.16|13250.97|1.0|1125.33
1704106560.0,BTCUSDT,SizingDebug,Qty:0.032541,263.07|8.5604|0.032541|0.086775|0.032541|13153.42|13416.49|12627.28|1.0|1141.39
1704107340.0,BTCUSDT,SizingDebug,Qty:0.034720,250.07|8.6825|0.034720|0.092586|0.034720|12503.75|12753.82|12003.60|1.0|1157.67
1704108060.0,BTCUSDT,SizingDebug,Qty:0.036989,238.08|8.8064|0.036989|0.098637|0.036989|11904.05|12142.13|11427.88|1.0|1174.18
1704108780.0,BTCUSDT,SizingDebug,Qty:0.039507,226.09|8.9320|0.039507|0.105352|0.039507|11304.35|11530.43|10852.17|1.0|1190.93
1704109440.0,BTCUSDT,SizingDebug,Qty:0.042119,215.09|9.0594|0.042119|0.112316|0.042119|10754.62|10969.71|10324.44|1.0|1207.92
1704110100.0,BTCUSDT,SizingDebug,Qty:0.045021,204.10|9.1886|0.045021|0.120055|0.045021|10204.90|10408.99|9796.70|1.0|1225.15
1704110700.0,BTCUSDT,SizingDebug,Qty:0.048014,194.10|9.3197|0.048014|0.128038|0.048014|9705.15|9899.25|9316.94|1.0|1242.63
1704111300.0,BTCUSDT,SizingDebug,Qty:0.051343,184.11|9.4527|0.051343|0.136915|0.051343|9205.40|9389.50|8837.18|1.0|1260.35
1704111840.0,BTCUSDT,SizingDebug,Qty:0.054751,175.11|9.5875|0.054751|0.146002|0.054751|8755.62|8930.73|8405.40|1.0|1278.33
1704112380.0,BTCUSDT,SizingDebug,Qty:0.058539,166.12|9.7243|0.058539|0.156103|0.058539|8305.85|8471.96|7973.61|1.0|1296.57
1704112920.0,BTCUSDT,SizingDebug,Qty:0.062773,157.12|9.8630|0.062773|0.167395|0.062773|7856.07|8013.19|7541.83|1.0|1315.06
1704113400.0,BTCUSDT,SizingDebug,Qty:0.067082,149.13|10.0037|0.067082|0.178886|0.067082|7456.27|7605.40|7158.02|1.0|1333.82
1704113880.0,BTCUSDT,SizingDebug,Qty:0.071894,141.13|10.1464|0.071894|0.191718|0.071894|7056.47|7197.60|6774.21|1.0|1352.85
