Bar,Timestamp,Equity,Balance,UnrealizedPnL,PositionQty,Type
0,1704091200.0,1000.00,1000.00,0.00,0.00000000,BAR
1,1704091260.0,1000.00,1000.00,0.00,0.00000000,BAR
2,1704091320.0,1000.00,1000.00,0.00,0.00000000,BAR
3,1704091380.0,1000.00,1000.00,0.00,0.00000000,BAR
4,1704091440.0,1000.00,1000.00,0.00,0.00000000,BAR
5,1704091500.0,1000.00,1000.00,0.00,0.00000000,BAR
6,1704091560.0,1000.00,1000.00,0.00,0.00000000,BAR
7,1704091620.0,1000.00,1000.00,0.00,0.00000000,BAR
8,1704091680.0,1000.00,1000.00,0.00,0.00000000,BAR
9,1704091740.0,1000.00,1000.00,0.00,0.00000000,BAR
10,1704091800.0,1000.00,1000.00,0.00,0.00000000,BAR
11,1704091860.0,1000.00,1000.00,0.00,0.00000000,BAR
12,1704091920.0,1000.00,1000.00,0.00,0.00000000,BAR
13,1704091980.0,1000.00,1000.00,0.00,0.00000000,BAR
14,1704092040.0,1000.00,1000.00,0.00,0.00000000,BAR
15,1704092100.0,1000.00,1000.00,0.00,0.00000000,BAR
16,1704092160.0,1000.00,1000.00,0.00,0.00000000,BAR
17,1704092220.0,1000.00,1000.00,0.00,0.00000000,BAR
18,1704092280.0,1000.00,1000.00,0.00,0.00000000,BAR
19,1704092340.0,1000.00,1000.00,0.00,0.00000000,BAR
20,1704092400.0,1000.00,1000.00,0.00,0.00000000,BAR
21,1704092460.0,1000.00,1000.00,0.00,0.00000000,BAR
22,1704092520.0,1000.00,1000.00,0.00,0.00000000,BAR
23,1704092580.0,1000.00,1000.00,0.00,0.00000000,BAR
24,1704092640.0,1000.00,1000.00,0.00,0.00000000,BAR
25,1704092700.0,1000.00,1000.00,0.00,0.00000000,BAR
26,1704092760.0,1000.00,1000.00,0.00,0.00000000,BAR
27,1704092820.0,1000.00,1000.00,0.00,0.00000000,BAR
28,1704092880.0,1000.00,1000.00,0.00,0.00000000,BAR
29,1704092940.0,1000.00,1000.00,0.00,0.00000000,BAR
30,1704093000.0,1000.00,1000.00,0.00,0.00000000,BAR
31,1704093060.0,1000.00,1000.00,0.00,0.00000000,BAR
32,1704093120.0,1000.00,1000.00,0.00,0.00000000,BAR
33,1704093180.0,1000.00,1000.00,0.00,0.00000000,BAR
34,1704093240.0,1000.00,1000.00,0.00,0.00000000,BAR
35,1704093300.0,1000.00,1000.00,0.00,0.00000000,BAR
36,1704093360.0,1000.00,1000.00,0.00,0.00000000,BAR
37,1704093420.0,1000.00,1000.00,0.00,0.00000000,BAR
38,1704093480.0,1000.00,1000.00,0.00,0.00000000,BAR
39,1704093540.0,1000.00,1000.00,0.00,0.00000000,BAR
40,1704093600.0,1000.00,1000.00,0.00,0.00000000,BAR
41,1704093660.0,1000.00,1000.00,0.00,0.00000000,BAR
42,1704093720.0,1000.00,1000.00,0.00,0.00000000,BAR
43,1704093780.0,1000.00,1000.00,0.00,0.00000000,BAR
44,1704093840.0,1000.00,1000.00,0.00,0.00000000,BAR
45,1704093900.0,1000.00,1000.00,0.00,0.00000000,BAR
46,1704093960.0,1000.00,1000.00,0.00,0.00000000,BAR
47,1704094020.0,1000.00,1000.00,0.00,0.00000000,BAR
48,1704094080.0,1000.00,1000.00,0.00,0.00000000,BAR
49,1704094140.0,1000.00,1000.00,0.00,0.00000000,BAR
50,1704094200.0,1000.00,1000.00,0.00,0.00000000,BAR
51,1704094260.0,1000.00,1000.00,0.00,0.00000000,BAR
52,1704094320.0,1000.00,1000.00,0.00,0.00000000,BAR
53,1704094380.0,1000.00,1000.00,0.00,0.00000000,BAR
54,1704094440.0,1000.00,1000.00,0.00,0.00000000,BAR
55,1704094500.0,1000.00,1000.00,0.00,0.00000000,BAR
56,1704094560.0,1000.00,1000.00,0.00,0.00000000,BAR
57,1704094620.0,1000.00,1000.00,0.00,0.00000000,BAR
58,1704094680.0,1000.00,1000.00,0.00,0.00000000,BAR
59,1704094740.0,1000.00,1000.00,0.00,0.00000000,BAR
60,1704094800.0,1000.00,1000.00,0.00,0.00000000,BAR
61,1704094860.0,1000.00,1000.00,0.00,0.00000000,BAR
62,1704094920.0,1000.00,1000.00,0.00,0.00000000,BAR
63,1704094980.0,1000.00,1000.00,0.00,0.00000000,BAR
64,1704095040.0,1000.00,1000.00,0.00,0.00000000,BAR
65,1704095100.0,1000.00,1000.00,0.00,0.00000000,BAR
66,1704095160.0,1000.00,1000.00,0.00,0.00000000,BAR
67,1704095220.0,1000.00,1000.00,0.00,0.00000000,BAR
68,1704095280.0,1000.00,1000.00,0.00,0.00000000,BAR
69,1704095340.0,1000.00,1000.00,0.00,0.00000000,BAR
70,1704095400.0,1000.00,1000.00,0.00,0.00000000,BAR
71,1704095460.0,1000.00,1000.00,0.00,0.00000000,BAR
72,1704095520.0,1000.00,1000.00,0.00,0.00000000,BAR
73,1704095580.0,1000.00,1000.00,0.00,0.00000000,BAR
74,1704095640.0,1000.00,1000.00,0.00,0.00000000,BAR
75,1704095700.0,1000.00,1000.00,0.00,0.00000000,BAR
76,1704095760.0,1000.00,1000.00,0.00,0.00000000,BAR
77,1704095820.0,1000.00,1000.00,0.00,0.00000000,BAR
78,1704095880.0,1000.00,1000.00,0.00,0.00000000,BAR
79,1704095940.0,1000.00,1000.00,0.00,0.00000000,BAR
80,1704096000.0,1000.00,1000.00,0.00,0.00000000,BAR
81,1704096060.0,1000.00,1000.00,0.00,0.00000000,BAR
82,1704096120.0,1000.00,1000.00,0.00,0.00000000,BAR
83,1704096180.0,1000.00,1000.00,0.00,0.00000000,BAR
84,1704096240.0,1000.00,1000.00,0.00,0.00000000,BAR
85,1704096300.0,1000.00,1000.00,0.00,0.00000000,BAR
86,1704096360.0,1000.00,1000.00,0.00,0.00000000,BAR
87,1704096420.0,1000.00,1000.00,0.00,0.00000000,BAR
88,1704096480.0,1000.00,1000.00,0.00,0.00000000,BAR
