Bar,Timestamp,Equity,Balance,UnrealizedPnL,PositionQty,Type
0,1704056460.0,50.00,50.00,0.00,0.00000000,BAR
1,1704056520.0,50.00,50.00,0.00,0.00000000,BAR
2,1704056580.0,50.00,50.00,0.00,0.00000000,BAR
3,1704056640.0,50.00,50.00,0.00,0.00000000,BAR
4,1704056700.0,50.00,50.00,0.00,0.00000000,BAR
5,1704056760.0,50.00,50.00,0.00,0.00000000,BAR
6,1704056820.0,50.00,50.00,0.00,0.00000000,BAR
7,1704056880.0,50.00,50.00,0.00,0.00000000,BAR
8,1704056940.0,50.00,50.00,0.00,0.00000000,BAR
9,1704057000.0,50.00,50.00,0.00,0.00000000,BAR
10,1704057060.0,50.00,50.00,0.00,0.00000000,BAR
11,1704057120.0,50.00,50.00,0.00,0.00000000,BAR
12,1704057180.0,50.00,50.00,0.00,0.00000000,BAR
13,1704057240.0,50.00,50.00,0.00,0.00000000,BAR
14,1704057300.0,50.00,50.00,0.00,0.00000000,BAR
15,1704057360.0,50.00,50.00,0.00,0.00000000,BAR
16,1704057420.0,50.00,50.00,0.00,0.00000000,BAR
17,1704057480.0,50.00,50.00,0.00,0.00000000,BAR
18,1704057540.0,50.00,50.00,0.00,0.00000000,BAR
19,1704057600.0,50.00,50.00,0.00,0.00000000,BAR
20,1704057660.0,50.00,50.00,0.00,0.00000000,BAR
21,1704057720.0,50.00,50.00,0.00,0.00000000,BAR
22,1704057780.0,50.00,50.00,0.00,0.00000000,BAR
23,1704057840.0,50.00,50.00,0.00,0.00000000,BAR
24,1704057900.0,50.00,50.00,0.00,0.00000000,BAR
25,1704057960.0,50.00,50.00,0.00,0.00000000,BAR
26,1704058020.0,50.00,50.00,0.00,0.00000000,BAR
27,1704058080.0,50.00,50.00,0.00,0.00000000,BAR
28,1704058140.0,50.00,50.00,0.00,0.00000000,BAR
29,1704058200.0,50.00,50.00,0.00,0.00000000,BAR
30,1704058260.0,50.00,50.00,0.00,0.00000000,BAR
31,1704058320.0,50.00,50.00,0.00,0.00000000,BAR
32,1704058380.0,50.00,50.00,0.00,0.00000000,BAR
33,1704058440.0,50.00,50.00,0.00,0.00000000,BAR
34,1704058500.0,50.00,50.00,0.00,0.00000000,BAR
35,1704058560.0,50.00,50.00,0.00,0.00000000,BAR
36,1704058620.0,50.00,50.00,0.00,0.00000000,BAR
37,1704058680.0,50.00,50.00,0.00,0.00000000,BAR
38,1704058740.0,50.00,50.00,0.00,0.00000000,BAR
39,1704058800.0,50.00,50.00,0.00,0.00000000,BAR
40,1704058860.0,50.00,50.00,0.00,0.00000000,BAR
41,1704058920.0,50.00,50.00,0.00,0.00000000,BAR
42,1704058980.0,50.00,50.00,0.00,0.00000000,BAR
43,1704059040.0,50.00,50.00,0.00,0.00000000,BAR
44,1704059100.0,50.00,50.00,0.00,0.00000000,BAR
45,1704059160.0,50.00,50.00,0.00,0.00000000,BAR
46,1704059220.0,50.00,50.00,0.00,0.00000000,BAR
47,1704059280.0,50.00,50.00,0.00,0.00000000,BAR
48,1704059340.0,50.00,50.00,0.00,0.00000000,BAR
49,1704059400.0,50.00,50.00,0.00,0.00000000,BAR
50,1704059460.0,50.00,50.00,0.00,0.00000000,BAR
51,1704059520.0,50.00,50.00,0.00,0.00000000,BAR
52,1704059580.0,50.00,50.00,0.00,0.00000000,BAR
53,1704059640.0,50.00,50.00,0.00,0.00000000,BAR
54,1704059700.0,50.00,50.00,0.00,0.00000000,BAR
55,1704059760.0,50.00,50.00,0.00,0.00000000,BAR
56,1704059820.0,50.00,50.00,0.00,0.00000000,BAR
57,1704059880.0,50.00,50.00,0.00,0.00000000,BAR
58,1704059940.0,50.00,50.00,0.00,0.00000000,BAR
59,1704060000.0,50.00,50.00,0.00,0.00000000,BAR
60,1704060060.0,50.00,50.00,0.00,0.00000000,BAR
61,1704060120.0,50.00,50.00,0.00,0.00000000,BAR
62,1704060180.0,50.00,50.00,0.00,0.00000000,BAR
63,1704060240.0,50.00,50.00,0.00,0.00000000,BAR
64,1704060300.0,50.00,50.00,0.00,0.00000000,BAR
65,1704060360.0,50.00,50.00,0.00,0.00000000,BAR
66,1704060420.0,50.00,50.00,0.00,0.00000000,BAR
67,1704060480.0,50.00,50.00,0.00,0.00000000,BAR
68,1704060540.0,50.00,50.00,0.00,0.00000000,BAR
69,1704060600.0,50.00,50.00,0.00,0.00000000,BAR
70,1704060660.0,50.00,50.00,0.00,0.00000000,BAR
71,1704060720.0,50.00,50.00,0.00,0.00000000,BAR
72,1704060780.0,50.00,50.00,0.00,0.00000000,BAR
73,1704060840.0,50.00,50.00,0.00,0.00000000,BAR
74,1704060900.0,50.00,50.00,0.00,0.00000000,BAR
75,1704060960.0,50.00,50.00,0.00,0.00000000,BAR
76,1704061020.0,50.00,50.00,0.00,0.00000000,BAR
77,1704061080.0,50.00,50.00,0.00,0.00000000,BAR
78,1704061140.0,50.00,50.00,0.00,0.00000000,BAR
79,1704061200.0,50.00,50.00,0.00,0.00000000,BAR
80,1704061260.0,50.00,50.00,0.00,0.00000000,BAR
81,1704061320.0,50.00,50.00,0.00,0.00000000,BAR
82,1704061380.0,50.00,50.00,0.00,0.00000000,BAR
83,1704061440.0,50.00,50.00,0.00,0.00000000,BAR
84,1704061500.0,50.00,50.00,0.00,0.00000000,BAR
85,1704061560.0,50.00,50.00,0.00,0.00000000,BAR
86,1704061620.0,50.00,50.00,0.00,0.00000000,BAR
87,1704061680.0,50.00,50.00,0.00,0.00000000,BAR
88,1704061740.0,50.00,50.00,0.00,0.00000000,BAR
89,1704061800.0,50.00,50.00,0.00,0.00000000,BAR
90,1704061860.0,50.00,50.00,0.00,0.00000000,BAR
91,1704061920.0,50.00,50.00,0.00,0.00000000,BAR
92,1704061980.0,50.00,50.00,0.00,0.00000000,BAR
93,1704062040.0,50.00,50.00,0.00,0.00000000,BAR
94,1704062100.0,50.00,50.00,0.00,0.00000000,BAR
95,1704062160.0,50.00,50.00,0.00,0.00000000,BAR
96,1704062220.0,50.00,50.00,0.00,0.00000000,BAR
97,1704062280.0,50.00,50.00,0.00,0.00000000,BAR
98,1704062340.0,50.00,50.00,0.00,0.00000000,BAR
99,1704062400.0,50.00,50.00,0.00,0.00000000,BAR
100,1704062460.0,50.00,50.00,0.00,0.00000000,BAR
101,1704062520.0,50.00,50.00,0.00,0.00000000,BAR
102,1704062580.0,50.00,50.00,0.00,0.00000000,BAR
103,1704062640.0,50.00,50.00,0.00,0.00000000,BAR
104,1704062700.0,50.00,50.00,0.00,0.00000000,BAR
105,1704062760.0,50.00,50.00,0.00,0.00000000,BAR
106,1704062820.0,50.00,50.00,0.00,0.00000000,BAR
107,1704062880.0,50.00,50.00,0.00,0.00000000,BAR
108,1704062940.0,50.00,50.00,0.00,0.00000000,BAR
109,1704063000.0,50.00,50.00,0.00,0.00000000,BAR
110,1704063060.0,50.00,50.00,0.00,0.00000000,BAR
111,1704063120.0,49.93,49.93,0.00,-0.00178035,POST_TRADE
112,1704063120.0,49.93,49.93,0.00,-0.00178035,BAR
113,1704063180.0,49.67,49.93,-0.26,-0.00178035,BAR
114,1704063240.0,49.61,49.93,-0.32,-0.00178035,BAR
115,1704063300.0,49.59,49.93,-0.33,-0.00178035,BAR
116,1704063360.0,49.61,49.93,-0.32,-0.00178035,BAR
117,1704063420.0,49.53,49.93,-0.39,-0.00178035,BAR
118,1704063480.0,49.67,49.93,-0.25,-0.00178035,BAR
119,1704063540.0,49.69,49.93,-0.23,-0.00178035,BAR
120,1704063600.0,49.66,49.93,-0.27,-0.00178035,BAR
121,1704063660.0,49.70,49.93,-0.22,-0.00178035,BAR
122,1704063720.0,49.63,49.93,-0.30,-0.00178035,BAR
123,1704063780.0,49.53,49.93,-0.39,-0.00178035,BAR
124,1704063840.0,49.65,49.93,-0.28,-0.00178035,BAR
125,1704063900.0,49.57,49.93,-0.36,-0.00178035,BAR
126,1704063960.0,49.57,49.93,-0.35,-0.00178035,BAR
127,1704064020.0,49.60,49.93,-0.32,-0.00178035,BAR
128,1704064080.0,49.67,49.93,-0.26,-0.00178035,BAR
129,1704064140.0,49.62,49.93,-0.30,-0.00178035,BAR
130,1704064200.0,49.70,49.93,-0.22,-0.00178035,BAR
131,1704064260.0,49.71,49.93,-0.22,-0.00178035,BAR
132,1704064320.0,49.70,49.93,-0.22,-0.00178035,BAR
