Bar,Timestamp,Equity,Balance,UnrealizedPnL,PositionQty,Type
0,1704607260.0,30.00,30.00,0.00,0.00000000,BAR
1,1704607320.0,30.00,30.00,0.00,0.00000000,BAR
2,1704607380.0,30.00,30.00,0.00,0.00000000,BAR
3,1704607440.0,30.00,30.00,0.00,0.00000000,BAR
4,1704607500.0,30.00,30.00,0.00,0.00000000,BAR
5,1704607560.0,30.00,30.00,0.00,0.00000000,BAR
6,1704607620.0,30.00,30.00,0.00,0.00000000,BAR
7,1704607680.0,30.00,30.00,0.00,0.00000000,BAR
8,1704607740.0,30.00,30.00,0.00,0.00000000,BAR
9,1704607800.0,30.00,30.00,0.00,0.00000000,BAR
10,1704607860.0,30.00,30.00,0.00,0.00000000,BAR
11,1704607920.0,30.00,30.00,0.00,0.00000000,BAR
12,1704607980.0,30.00,30.00,0.00,0.00000000,BAR
13,1704608040.0,30.00,30.00,0.00,0.00000000,BAR
14,1704608100.0,30.00,30.00,0.00,0.00000000,BAR
15,1704608160.0,30.00,30.00,0.00,0.00000000,BAR
16,1704608220.0,30.00,30.00,0.00,0.00000000,BAR
17,1704608280.0,30.00,30.00,0.00,0.00000000,BAR
18,1704608340.0,30.00,30.00,0.00,0.00000000,BAR
19,1704608400.0,30.00,30.00,0.00,0.00000000,BAR
20,1704608460.0,30.00,30.00,0.00,0.00000000,BAR
21,1704608520.0,30.00,30.00,0.00,0.00000000,BAR
22,1704608580.0,30.00,30.00,0.00,0.00000000,BAR
23,1704608640.0,30.00,30.00,0.00,0.00000000,BAR
24,1704608700.0,30.00,30.00,0.00,0.00000000,BAR
25,1704608760.0,30.00,30.00,0.00,0.00000000,BAR
26,1704608820.0,30.00,30.00,0.00,0.00000000,BAR
27,1704608880.0,30.00,30.00,0.00,0.00000000,BAR
28,1704608940.0,30.00,30.00,0.00,0.00000000,BAR
29,1704609000.0,30.00,30.00,0.00,0.00000000,BAR
30,1704609060.0,30.00,30.00,0.00,0.00000000,BAR
31,1704609120.0,30.00,30.00,0.00,0.00000000,BAR
32,1704609180.0,30.00,30.00,0.00,0.00000000,BAR
33,1704609240.0,30.00,30.00,0.00,0.00000000,BAR
34,1704609300.0,30.00,30.00,0.00,0.00000000,BAR
35,1704609360.0,30.00,30.00,0.00,0.00000000,BAR
36,1704609420.0,30.00,30.00,0.00,0.00000000,BAR
37,1704609480.0,30.00,30.00,0.00,0.00000000,BAR
38,1704609540.0,30.00,30.00,0.00,0.00000000,BAR
39,1704609600.0,30.00,30.00,0.00,0.00000000,BAR
40,1704609660.0,30.00,30.00,0.00,0.00000000,BAR
41,1704609720.0,30.00,30.00,0.00,0.00000000,BAR
42,1704609780.0,30.00,30.00,0.00,0.00000000,BAR
43,1704609840.0,30.00,30.00,0.00,0.00000000,BAR
44,1704609900.0,30.00,30.00,0.00,0.00000000,BAR
45,1704609960.0,30.00,30.00,0.00,0.00000000,BAR
46,1704610020.0,30.00,30.00,0.00,0.00000000,BAR
47,1704610080.0,30.00,30.00,0.00,0.00000000,BAR
48,1704610140.0,30.00,30.00,0.00,0.00000000,BAR
49,1704610200.0,30.00,30.00,0.00,0.00000000,BAR
50,1704610260.0,30.00,30.00,0.00,0.00000000,BAR
51,1704610320.0,30.00,30.00,0.00,0.00000000,BAR
52,1704610380.0,30.00,30.00,0.00,0.00000000,BAR
53,1704610440.0,30.00,30.00,0.00,0.00000000,BAR
54,1704610500.0,30.00,30.00,0.00,0.00000000,BAR
55,1704610560.0,30.00,30.00,0.00,0.00000000,BAR
56,1704610620.0,30.00,30.00,0.00,0.00000000,BAR
57,1704610680.0,30.00,30.00,0.00,0.00000000,BAR
58,1704610740.0,30.00,30.00,0.00,0.00000000,BAR
59,1704610800.0,30.00,30.00,0.00,0.00000000,BAR
60,1704610860.0,30.00,30.00,0.00,0.00000000,BAR
61,1704610920.0,30.00,30.00,0.00,0.00000000,BAR
62,1704610980.0,30.00,30.00,0.00,0.00000000,BAR
63,1704611040.0,30.00,30.00,0.00,0.00000000,BAR
64,1704611100.0,30.00,30.00,0.00,0.00000000,BAR
65,1704611160.0,30.00,30.00,0.00,0.00000000,BAR
66,1704611220.0,30.00,30.00,0.00,0.00000000,BAR
67,1704611280.0,30.00,30.00,0.00,0.00000000,BAR
68,1704611340.0,30.00,30.00,0.00,0.00000000,BAR
69,1704611400.0,30.00,30.00,0.00,0.00000000,BAR
70,1704611460.0,30.00,30.00,0.00,0.00000000,BAR
71,1704611520.0,30.00,30.00,0.00,0.00000000,BAR
72,1704611580.0,30.00,30.00,0.00,0.00000000,BAR
73,1704611640.0,30.00,30.00,0.00,0.00000000,BAR
74,1704611700.0,30.00,30.00,0.00,0.00000000,BAR
75,1704611760.0,30.00,30.00,0.00,0.00000000,BAR
76,1704611820.0,30.00,30.00,0.00,0.00000000,BAR
77,1704611880.0,30.00,30.00,0.00,0.00000000,BAR
78,1704611940.0,30.00,30.00,0.00,0.00000000,BAR
79,1704612000.0,30.00,30.00,0.00,0.00000000,BAR
80,1704612060.0,30.00,30.00,0.00,0.00000000,BAR
81,1704612120.0,30.00,30.00,0.00,0.00000000,BAR
82,1704612180.0,30.00,30.00,0.00,0.00000000,BAR
83,1704612240.0,30.00,30.00,0.00,0.00000000,BAR
84,1704612300.0,30.00,30.00,0.00,0.00000000,BAR
85,1704612360.0,30.00,30.00,0.00,0.00000000,BAR
86,1704612420.0,30.00,30.00,0.00,0.00000000,BAR
