Timestamp,Symbol,Reason,Details,Meta
1704682440.0,BTCUSDT,Mode Block,Cooldown: 2 bars,
1704682500.0,BTCUSDT,Mode Block,Cooldown: 1 bars,
1704737220.0,BTCUSDT,Mode Block,Cooldown: 1 bars,
1704927300.0,BTCUSDT,Mode Block,Max Total DD Hit: 11.0%,
1704928200.0,BTCUSDT,Mode Block,Max Total DD Hit: 11.0%,
1704928800.0,BTCUSDT,Mode Block,Max Total DD Hit: 11.0%,
1704928860.0,BTCUSDT,Mode Block,Max Total DD Hit: 11.0%,
1704928920.0,BTCUSDT,Mode Block,Max Total DD Hit: 11.0%,
1704929460.0,BTCUSDT,Mode Block,Max Total DD Hit: 11.0%,
1704929520.0,BTCUSDT,Mode Block,Max Total DD Hit: 11.0%,
1704929580.0,BTCUSDT,Mode Block,Max Total DD Hit: 11.0%,
1704929640.0,BTCUSDT,Mode Block,Max Total DD Hit: 11.0%,
1704929700.0,BTCUSDT,Mode Block,Max Total DD Hit: 11.0%,
1704929760.0,BTCUSDT,Mode Block,Max Total DD Hit: 11.0%,
1704930000.0,BTCUSDT,Mode Block,Max Total DD Hit: 11.0%,
1704930120.0,BTCUSDT,Mode Block,Max Total DD Hit: 11.0%,
1704930180.0,BTCUSDT,Mode Block,Max Total DD Hit: 11.0%,
1704930240.0,BTCUSDT,Mode Block,Max Total DD Hit: 11.0%,
1704930300.0,BTCUSDT,Mode Block,Max Total DD Hit: 11.0%,
1704930360.0,BTCUSDT,Mode Block,Max Total DD Hit: 11.0%,
1704930420.0,BTCUSDT,Mode Block,Max Total DD Hit: 11.0%,
1704930480.0,BTCUSDT,Mode Block,Max Total DD Hit: 11.0%,
1704930540.0,BTCUSDT,Mode Block,Max Total DD Hit: 11.0%,
1704930600.0,BTCUSDT,Mode Block,Max Total DD Hit: 11.0%,
1704930660.0,BTCUSDT,Mode Block,Max Total DD Hit: 11.0%,
1704930720.0,BTCUSDT,Mode Block,Max Total DD Hit: 11.0%,
1704930780.0,BTCUSDT,Mode Block,Max Total DD Hit: 11.0%,
1704930840.0,BTCUSDT,Mode Block,Max Total DD Hit: 11.0%,
1704930900.0,BTCUSDT,Mode Block,Max Total DD Hit: 11.0%,
1704930960.0,BTCUSDT,Mode Block,Max Total DD Hit: 11.0%,
1704931200.0,BTCUSDT,Mode Block,Max Total DD Hit: 11.0%,
1704931260.0,BTCUSDT,Mode Block,Max Total DD Hit: 11.0%,
1704931500.0,BTCUSDT,Mode Block,Max Total DD Hit: 11.0%,
1704931560.0,BTCUSDT,Mode Block,Max Total DD Hit: 11.0%,
1704943080.0,BTCUSDT,Mode Block,Max Total DD Hit: 11.0%,
1704943140.0,BTCUSDT,Mode Block,Max Total DD Hit: 11.0%,
1704943200.0,BTCUSDT,Mode Block,Max Total DD Hit: 11.0%,
1704943260.0,BTCUSDT,Mode Block,Max Total DD Hit: 11.0%,
1704950460.0,BTCUSDT,Mode Block,Max Total DD Hit: 11.0%,
1704951420.0,BTCUSDT,Mode Block,Max Total DD Hit: 11.0%,
1704951540.0,BTCUSDT,Mode Block,Max Total DD Hit: 11.0%,
1704951600.0,BTCUSDT,Mode Block,Max Total DD Hit: 11.0%,
1704951660.0,BTCUSDT,Mode Block,Max Total DD Hit: 11.0%,
1704951720.0,BTCUSDT,Mode Block,Max Total DD Hit: 11.0%,
1704951780.0,BTCUSDT,Mode Block,Max Total DD Hit: 11.0%,
1704951840.0,BTCUSDT,Mode Block,Max Total DD Hit: 11.0%,
1704951900.0,BTCUSDT,Mode Block,Max Total DD Hit: 11.0%,
1704951960.0,BTCUSDT,Mode Block,Max Total DD Hit: 11.0%,
1704952020.0,BTCUSDT,Mode Block,Max Total DD Hit: 11.0%,
1704952080.0,BTCUSDT,Mode Block,Max Total DD Hit: 11.0%,
1704952140.0,BTCUSDT,Mode Block,Max Total DD Hit: 11.0%,
1704952200.0,BTCUSDT,Mode Block,Max Total DD Hit: 11.0%,
1704952260.0,BTCUSDT,Mode Block,Max Total DD Hit: 11.0%,
1704952320.0,BTCUSDT,Mode Block,Max Total DD Hit: 11.0%,
1704952860.0,BTCUSDT,Mode Block,Max Total DD Hit: 11.0%,
1704952920.0,BTCUSDT,Mode Block,Max Total DD Hit: 11.0%,
1704952980.0,BTCUSDT,Mode Block,Max Total DD Hit: 11.0%,
1704953040.0,BTCUSDT,Mode Block,Max Total DD Hit: 11.0%,
1704953100.0,BTCUSDT,Mode Block,Max Total DD Hit: 11.0%,
1704953160.0,BTCUSDT,Mode Block,Max Total DD Hit: 11.0%,
1704953280.0,BTCUSDT,Mode Block,Max Total DD Hit: 11.0%,
1704953340.0,BTCUSDT,Mode Block,Max Total DD Hit: 11.0%,
1704953400.0,BTCUSDT,Mode Block,Max Total DD Hit: 11.0%,
1704953460.0,BTCUSDT,Mode Block,Max Total DD Hit: 11.0%,
1704953520.0,BTCUSDT,Mode Block,Max Total DD Hit: 11.0%,
1704953580.0,BTCUSDT,Mode Block,Max Total DD Hit: 11.0%,
1704953640.0,BTCUSDT,Mode Block,Max Total DD Hit: 11.0%,
