Bar,Timestamp,Equity,Balance,UnrealizedPnL,PositionQty,Type
0,1688158860.0,10000.00,10000.00,0.00,0.00000000,BAR
1,1688158920.0,10000.00,10000.00,0.00,0.00000000,BAR
2,1688158980.0,10000.00,10000.00,0.00,0.00000000,BAR
3,1688159040.0,10000.00,10000.00,0.00,0.00000000,BAR
4,1688159100.0,10000.00,10000.00,0.00,0.00000000,BAR
5,1688159160.0,10000.00,10000.00,0.00,0.00000000,BAR
6,1688159220.0,10000.00,10000.00,0.00,0.00000000,BAR
7,1688159280.0,10000.00,10000.00,0.00,0.00000000,BAR
8,1688159340.0,10000.00,10000.00,0.00,0.00000000,BAR
9,1688159400.0,10000.00,10000.00,0.00,0.00000000,BAR
10,1688159460.0,10000.00,10000.00,0.00,0.00000000,BAR
11,1688159520.0,10000.00,10000.00,0.00,0.00000000,BAR
12,1688159580.0,10000.00,10000.00,0.00,0.00000000,BAR
13,1688159640.0,10000.00,10000.00,0.00,0.00000000,BAR
14,1688159700.0,10000.00,10000.00,0.00,0.00000000,BAR
15,1688159760.0,10000.00,10000.00,0.00,0.00000000,BAR
16,1688159820.0,10000.00,10000.00,0.00,0.00000000,BAR
17,1688159880.0,10000.00,10000.00,0.00,0.00000000,BAR
18,1688159940.0,10000.00,10000.00,0.00,0.00000000,BAR
19,1688160000.0,10000.00,10000.00,0.00,0.00000000,BAR
20,1688160060.0,10000.00,10000.00,0.00,0.00000000,BAR
21,1688160120.0,10000.00,10000.00,0.00,0.00000000,BAR
22,1688160180.0,10000.00,10000.00,0.00,0.00000000,BAR
23,1688160240.0,10000.00,10000.00,0.00,0.00000000,BAR
24,1688160300.0,10000.00,10000.00,0.00,0.00000000,BAR
25,1688160360.0,10000.00,10000.00,0.00,0.00000000,BAR
26,1688160420.0,10000.00,10000.00,0.00,0.00000000,BAR
27,1688160480.0,10000.00,10000.00,0.00,0.00000000,BAR
28,1688160540.0,10000.00,10000.00,0.00,0.00000000,BAR
29,1688160600.0,10000.00,10000.00,0.00,0.00000000,BAR
30,1688160660.0,10000.00,10000.00,0.00,0.00000000,BAR
31,1688160720.0,10000.00,10000.00,0.00,0.00000000,BAR
32,1688160780.0,10000.00,10000.00,0.00,0.00000000,BAR
33,1688160840.0,10000.00,10000.00,0.00,0.00000000,BAR
34,1688160900.0,10000.00,10000.00,0.00,0.00000000,BAR
35,1688160960.0,10000.00,10000.00,0.00,0.00000000,BAR
36,1688161020.0,10000.00,10000.00,0.00,0.00000000,BAR
37,1688161080.0,10000.00,10000.00,0.00,0.00000000,BAR
38,1688161140.0,10000.00,10000.00,0.00,0.00000000,BAR
39,1688161200.0,10000.00,10000.00,0.00,0.00000000,BAR
40,1688161260.0,10000.00,10000.00,0.00,0.00000000,BAR
41,1688161320.0,10000.00,10000.00,0.00,0.00000000,BAR
42,1688161380.0,10000.00,10000.00,0.00,0.00000000,BAR
43,1688161440.0,10000.00,10000.00,0.00,0.00000000,BAR
44,1688161500.0,10000.00,10000.00,0.00,0.00000000,BAR
45,1688161560.0,10000.00,10000.00,0.00,0.00000000,BAR
46,1688161620.0,10000.00,10000.00,0.00,0.00000000,BAR
47,1688161680.0,10000.00,10000.00,0.00,0.00000000,BAR
48,1688161740.0,10000.00,10000.00,0.00,0.00000000,BAR
49,1688161800.0,10000.00,10000.00,0.00,0.00000000,BAR
50,1688161860.0,10000.00,10000.00,0.00,0.00000000,BAR
51,1688161920.0,10000.00,10000.00,0.00,0.00000000,BAR
52,1688161980.0,10000.00,10000.00,0.00,0.00000000,BAR
53,1688162040.0,10000.00,10000.00,0.00,0.00000000,BAR
54,1688162100.0,10000.00,10000.00,0.00,0.00000000,BAR
55,1688162160.0,10000.00,10000.00,0.00,0.00000000,BAR
56,1688162220.0,10000.00,10000.00,0.00,0.00000000,BAR
57,1688162280.0,10000.00,10000.00,0.00,0.00000000,BAR
58,1688162340.0,10000.00,10000.00,0.00,0.00000000,BAR
59,1688162400.0,10000.00,10000.00,0.00,0.00000000,BAR
60,1688162460.0,10000.00,10000.00,0.00,0.00000000,BAR
61,1688162520.0,10000.00,10000.00,0.00,0.00000000,BAR
62,1688162580.0,10000.00,10000.00,0.00,0.00000000,BAR
63,1688162640.0,10000.00,10000.00,0.00,0.00000000,BAR
64,1688162700.0,10000.00,10000.00,0.00,0.00000000,BAR
65,1688162760.0,10000.00,10000.00,0.00,0.00000000,BAR
66,1688162820.0,10000.00,10000.00,0.00,0.00000000,BAR
67,1688162880.0,10000.00,10000.00,0.00,0.00000000,BAR
68,1688162940.0,10000.00,10000.00,0.00,0.00000000,BAR
69,1688163000.0,10000.00,10000.00,0.00,0.00000000,BAR
70,1688163060.0,10000.00,10000.00,0.00,0.00000000,BAR
71,1688163120.0,10000.00,10000.00,0.00,0.00000000,BAR
72,1688163180.0,10000.00,10000.00,0.00,0.00000000,BAR
73,1688163240.0,10000.00,10000.00,0.00,0.00000000,BAR
74,1688163300.0,10000.00,10000.00,0.00,0.00000000,BAR
75,1688163360.0,10000.00,10000.00,0.00,0.00000000,BAR
76,1688163420.0,10000.00,10000.00,0.00,0.00000000,BAR
77,1688163480.0,10000.00,10000.00,0.00,0.00000000,BAR
78,1688163540.0,10000.00,10000.00,0.00,0.00000000,BAR
79,1688163600.0,10000.00,10000.00,0.00,0.00000000,BAR
80,1688163660.0,10000.00,10000.00,0.00,0.00000000,BAR
81,1688163720.0,10000.00,10000.00,0.00,0.00000000,BAR
82,1688163780.0,10000.00,10000.00,0.00,0.00000000,BAR
83,1688163840.0,10000.00,10000.00,0.00,0.00000000,BAR
84,1688163900.0,10000.00,10000.00,0.00,0.00000000,BAR
85,1688163960.0,10000.00,10000.00,0.00,0.00000000,BAR
86,1688164020.0,10000.00,10000.00,0.00,0.00000000,BAR
87,1688164080.0,10000.00,10000.00,0.00,0.00000000,BAR
88,1688164140.0,10000.00,10000.00,0.00,0.00000000,BAR
89,1688164200.0,10000.00,10000.00,0.00,0.00000000,BAR
90,1688164260.0,10000.00,10000.00,0.00,0.00000000,BAR
91,1688164320.0,10000.00,10000.00,0.00,0.00000000,BAR
92,1688164380.0,10000.00,10000.00,0.00,0.00000000,BAR
93,1688164440.0,10000.00,10000.00,0.00,0.00000000,BAR
94,1688164500.0,10000.00,10000.00,0.00,0.00000000,BAR
95,1688164560.0,10000.00,10000.00,0.00,0.00000000,BAR
96,1688164620.0,10000.00,10000.00,0.00,0.00000000,BAR
97,1688164680.0,10000.00,10000.00,0.00,0.00000000,BAR
98,1688164740.0,10000.00,10000.00,0.00,0.00000000,BAR
99,1688164800.0,10000.00,10000.00,0.00,0.00000000,BAR
100,1688164860.0,10000.00,10000.00,0.00,0.00000000,BAR
101,1688164920.0,10000.00,10000.00,0.00,0.00000000,BAR
102,1688164980.0,10000.00,10000.00,0.00,0.00000000,BAR
103,1688165040.0,10000.00,10000.00,0.00,0.00000000,BAR
104,1688165100.0,10000.00,10000.00,0.00,0.00000000,BAR
105,1688165160.0,10000.00,10000.00,0.00,0.00000000,BAR
106,1688165220.0,10000.00,10000.00,0.00,0.00000000,BAR
107,1688165280.0,10000.00,10000.00,0.00,0.00000000,BAR
108,1688165340.0,10000.00,10000.00,0.00,0.00000000,BAR
109,1688165400.0,10000.00,10000.00,0.00,0.00000000,BAR
110,1688165460.0,10000.00,10000.00,0.00,0.00000000,BAR
111,1688165520.0,10000.00,10000.00,0.00,0.00000000,BAR
112,1688165580.0,10000.00,10000.00,0.00,0.00000000,BAR
113,1688165640.0,10000.00,10000.00,0.00,0.00000000,BAR
114,1688165700.0,10000.00,10000.00,0.00,0.00000000,BAR
115,1688165760.0,10000.00,10000.00,0.00,0.00000000,BAR
116,1688165820.0,10000.00,10000.00,0.00,0.00000000,BAR
117,1688165880.0,10000.00,10000.00,0.00,0.00000000,BAR
118,1688165940.0,10000.00,10000.00,0.00,0.00000000,BAR
119,1688166000.0,10000.00,10000.00,0.00,0.00000000,BAR
120,1688166060.0,10000.00,10000.00,0.00,0.00000000,BAR
121,1688166120.0,10000.00,10000.00,0.00,0.00000000,BAR
122,1688166180.0,10000.00,10000.00,0.00,0.00000000,BAR
123,1688166240.0,10000.00,10000.00,0.00,0.00000000,BAR
124,1688166300.0,10000.00,10000.00,0.00,0.00000000,BAR
125,1688166360.0,10000.00,10000.00,0.00,0.00000000,BAR
126,1688166420.0,10000.00,10000.00,0.00,0.00000000,BAR
127,1688166480.0,10000.00,10000.00,0.00,0.00000000,BAR
128,1688166540.0,10000.00,10000.00,0.00,0.00000000,BAR
129,1688166600.0,10000.00,10000.00,0.00,0.00000000,BAR
130,1688166660.0,10000.00,10000.00,0.00,0.00000000,BAR
131,1688166720.0,10000.00,10000.00,0.00,0.00000000,BAR
132,1688166780.0,10000.00,10000.00,0.00,0.00000000,BAR
133,1688166840.0,10000.00,10000.00,0.00,0.00000000,BAR
134,1688166900.0,10000.00,10000.00,0.00,0.00000000,BAR
135,1688166960.0,10000.00,10000.00,0.00,0.00000000,BAR
136,1688167020.0,10000.00,10000.00,0.00,0.00000000,BAR
137,1688167080.0,10000.00,10000.00,0.00,0.00000000,BAR
138,1688167140.0,10000.00,10000.00,0.00,0.00000000,BAR
139,1688167200.0,10000.00,10000.00,0.00,0.00000000,BAR
140,1688167260.0,10000.00,10000.00,0.00,0.00000000,BAR
141,1688167320.0,10000.00,10000.00,0.00,0.00000000,BAR
142,1688167380.0,10000.00,10000.00,0.00,0.00000000,BAR
143,1688167440.0,10000.00,10000.00,0.00,0.00000000,BAR
