Timestamp,Symbol,Reason,Details,Meta
1704062760.0,BTCUSDT,REJECT_WEAK_TREND,ADX 20.0 < 55.0,
1704063120.0,BTCUSDT,REJECT_WEAK_TREND,ADX 36.1 < 55.0,
1704063180.0,BTCUSDT,REJECT_WEAK_TREND,ADX 39.3 < 55.0,
1704063240.0,BTCUSDT,REJECT_WEAK_TREND,ADX 41.2 < 55.0,
1704063300.0,BTCUSDT,REJECT_WEAK_TREND,ADX 43.0 < 55.0,
1704063360.0,BTCUSDT,REJECT_WEAK_TREND,ADX 44.4 < 55.0,
1704063420.0,BTCUSDT,REJECT_WEAK_TREND,ADX 44.9 < 55.0,
1704063480.0,BTCUSDT,REJECT_WEAK_TREND,ADX 45.6 < 55.0,
1704063540.0,BTCUSDT,REJECT_WEAK_TREND,ADX 46.4 < 55.0,
1704063600.0,BTCUSDT,REJECT_WEAK_TREND,ADX 47.4 < 55.0,
1704063660.0,BTCUSDT,REJECT_WEAK_TREND,ADX 48.3 < 55.0,
1704063720.0,BTCUSDT,REJECT_WEAK_TREND,ADX 49.0 < 55.0,
1704063780.0,BTCUSDT,REJECT_WEAK_TREND,ADX 48.5 < 55.0,
1704063840.0,BTCUSDT,REJECT_WEAK_TREND,ADX 48.1 < 55.0,
1704063900.0,BTCUSDT,REJECT_WEAK_TREND,ADX 47.8 < 55.0,
1704063960.0,BTCUSDT,REJECT_WEAK_TREND,ADX 47.6 < 55.0,
1704064020.0,BTCUSDT,REJECT_WEAK_TREND,ADX 47.4 < 55.0,
1704064080.0,BTCUSDT,REJECT_WEAK_TREND,ADX 47.7 < 55.0,
1704064140.0,BTCUSDT,REJECT_WEAK_TREND,ADX 47.9 < 55.0,
1704064200.0,BTCUSDT,REJECT_WEAK_TREND,ADX 48.4 < 55.0,
1704064260.0,BTCUSDT,REJECT_WEAK_TREND,ADX 49.1 < 55.0,
1704064320.0,BTCUSDT,REJECT_WEAK_TREND,ADX 49.8 < 55.0,
1704064380.0,BTCUSDT,REJECT_WEAK_TREND,ADX 50.0 < 55.0,
1704064440.0,BTCUSDT,REJECT_WEAK_TREND,ADX 50.2 < 55.0,
1704064500.0,BTCUSDT,REJECT_WEAK_TREND,ADX 50.7 < 55.0,
1704064560.0,BTCUSDT,REJECT_WEAK_TREND,ADX 51.7 < 55.0,
1704064620.0,BTCUSDT,REJECT_WEAK_TREND,ADX 52.5 < 55.0,
1704064680.0,BTCUSDT,REJECT_WEAK_TREND,ADX 53.5 < 55.0,
1704064740.0,BTCUSDT,REJECT_WEAK_TREND,ADX 54.4 < 55.0,
1704064800.0,BTCUSDT,REJECT_EDGE_COST,Exp:15.6 (Sl:3.1/ATR:10.4) < Cost:20.0*2.0 Score:10.8,10.8
1704064860.0,BTCUSDT,REJECT_EDGE_COST,Exp:15.6 (Sl:3.5/ATR:10.4) < Cost:20.0*2.0 Score:11.2,11.2
1704064920.0,BTCUSDT,REJECT_EDGE_COST,Exp:15.9 (Sl:1.9/ATR:10.6) < Cost:20.0*2.0 Score:10.3,10.3
1704064980.0,BTCUSDT,REJECT_EDGE_COST,Exp:15.5 (Sl:1.6/ATR:10.4) < Cost:20.0*2.0 Score:10.2,10.2
1704065040.0,BTCUSDT,REJECT_EDGE_COST,Exp:15.3 (Sl:1.6/ATR:10.2) < Cost:20.0*2.0 Score:10.2,10.2
1704065100.0,BTCUSDT,REJECT_EDGE_COST,Exp:14.7 (Sl:1.1/ATR:9.8) < Cost:20.0*2.0 Score:9.9,9.9
1704065160.0,BTCUSDT,REJECT_EDGE_COST,Exp:14.4 (Sl:0.4/ATR:9.6) < Cost:20.0*2.0 Score:9.2,9.2
1704065220.0,BTCUSDT,REJECT_WEAK_TREND,ADX 55.0 < 55.0,
1704065280.0,BTCUSDT,REJECT_WEAK_TREND,ADX 53.3 < 55.0,
1704065340.0,BTCUSDT,REJECT_WEAK_TREND,ADX 51.5 < 55.0,
1704065400.0,BTCUSDT,REJECT_WEAK_TREND,ADX 50.3 < 55.0,
1704065460.0,BTCUSDT,REJECT_WEAK_TREND,ADX 49.2 < 55.0,
1704065520.0,BTCUSDT,REJECT_WEAK_TREND,ADX 47.0 < 55.0,
1704065580.0,BTCUSDT,REJECT_WEAK_TREND,ADX 44.1 < 55.0,
1704065640.0,BTCUSDT,REJECT_WEAK_TREND,ADX 41.5 < 55.0,
1704067980.0,BTCUSDT,REJECT_WEAK_TREND,ADX 41.5 < 55.0,
1704068040.0,BTCUSDT,REJECT_WEAK_TREND,ADX 43.3 < 55.0,
1704068100.0,BTCUSDT,REJECT_WEAK_TREND,ADX 45.2 < 55.0,
1704068160.0,BTCUSDT,REJECT_WEAK_TREND,ADX 47.4 < 55.0,
1704068220.0,BTCUSDT,REJECT_WEAK_TREND,ADX 49.0 < 55.0,
1704068280.0,BTCUSDT,REJECT_WEAK_TREND,ADX 48.7 < 55.0,
1704068340.0,BTCUSDT,REJECT_WEAK_TREND,ADX 48.0 < 55.0,
1704068400.0,BTCUSDT,REJECT_WEAK_TREND,ADX 47.3 < 55.0,
1704068460.0,BTCUSDT,REJECT_WEAK_TREND,ADX 46.0 < 55.0,
1704068520.0,BTCUSDT,REJECT_WEAK_TREND,ADX 44.9 < 55.0,
1704068580.0,BTCUSDT,REJECT_WEAK_TREND,ADX 44.2 < 55.0,
1704068640.0,BTCUSDT,REJECT_WEAK_TREND,ADX 44.0 < 55.0,
1704068700.0,BTCUSDT,REJECT_WEAK_TREND,ADX 44.0 < 55.0,
1704068760.0,BTCUSDT,REJECT_WEAK_TREND,ADX 43.9 < 55.0,
1704068820.0,BTCUSDT,REJECT_WEAK_TREND,ADX 42.0 < 55.0,
1704073140.0,BTCUSDT,REJECT_WEAK_TREND,ADX 39.3 < 55.0,
1704073200.0,BTCUSDT,REJECT_WEAK_TREND,ADX 41.5 < 55.0,
1704073260.0,BTCUSDT,REJECT_WEAK_TREND,ADX 42.4 < 55.0,
1704073320.0,BTCUSDT,REJECT_WEAK_TREND,ADX 43.2 < 55.0,
1704073380.0,BTCUSDT,REJECT_WEAK_TREND,ADX 43.4 < 55.0,
1704073440.0,BTCUSDT,REJECT_WEAK_TREND,ADX 43.4 < 55.0,
1704073500.0,BTCUSDT,REJECT_WEAK_TREND,ADX 43.5 < 55.0,
1704073560.0,BTCUSDT,REJECT_WEAK_TREND,ADX 43.6 < 55.0,
1704073620.0,BTCUSDT,REJECT_WEAK_TREND,ADX 42.4 < 55.0,
1704073740.0,BTCUSDT,REJECT_WEAK_TREND,ADX 39.5 < 55.0,
1704080580.0,BTCUSDT,REJECT_WEAK_TREND,ADX 34.1 < 55.0,
