Scenario,PositionId,EntryTs,ExitTs,Direction,EntryPrice,ExitPrice,ExpMove,Cost,Realized,Net,Slope,ADX,Regime
Adx_30,1c9a7eaa,1704282900.0,1704283680.0,SELL,43571.10528,41870.089329868795,43.3,20.0,390.40000000000185,370.40000000000185,-68.935388,62.63,TREND
Adx_30,5e081b0d,1704285540.0,1704297360.0,SELL,42147.94986,43033.8997660572,62.3,20.0,-210.1999999999995,-230.1999999999995,-8.273964,32.45,TREND
Adx_30,dcc9c599,1704297900.0,1704308160.0,BUY,43363.84051999999,42454.06714589039,46.3,20.0,-209.80000000000044,-229.80000000000044,36.978059,35.84,TREND
Adx_35,7b9ca5c5,1704282900.0,1704283680.0,SELL,43571.10528,41870.089329868795,43.3,20.0,390.40000000000185,370.40000000000185,-68.935388,62.63,TREND
Adx_35,97a14d11,1704297900.0,1704308160.0,BUY,43363.84051999999,42454.06714589039,46.3,20.0,-209.80000000000044,-229.80000000000044,36.978059,35.84,TREND
Adx_40,808bc878,1704282900.0,1704283680.0,SELL,43571.10528,41870.089329868795,43.3,20.0,390.40000000000185,370.40000000000185,-68.935388,62.63,TREND
Adx_45,8f24d3da,1704282900.0,1704283680.0,SELL,43571.10528,41870.089329868795,43.3,20.0,390.40000000000185,370.40000000000185,-68.935388,62.63,TREND
Adx_50,22a10e4b,1704282900.0,1704283680.0,SELL,43571.10528,41870.089329868795,43.3,20.0,390.40000000000185,370.40000000000185,-68.935388,62.63,TREND
Adx_55,b01e2b4f,1704282900.0,1704283680.0,SELL,43571.10528,41870.089329868795,43.3,20.0,390.40000000000185,370.40000000000185,-68.935388,62.63,TREND
Adx_60,2e67e452,1704282900.0,1704283680.0,SELL,43571.10528,41870.089329868795,43.3,20.0,390.40000000000185,370.40000000000185,-68.935388,62.63,TREND
