Timestamp,Symbol,Reason,Details,Meta
1704062340.0,SOLUSDT,REJECT_EDGE_COST,Exp:21.4 (Sl:1.0/ATR:14.2) < Cost:20.0*2.0 Score:8.9,8.9
1704062400.0,SOLUSDT,REJECT_EDGE_COST,Exp:20.6 (Sl:0.5/ATR:13.7) < Cost:20.0*2.0 Score:8.4,8.4
1704062460.0,SOLUSDT,REJECT_EDGE_COST,Exp:21.1 (Sl:2.2/ATR:14.1) < Cost:20.0*2.0 Score:9.4,9.4
1704062520.0,SOLUSDT,REJECT_EDGE_COST,Exp:20.1 (Sl:2.2/ATR:13.4) < Cost:20.0*2.0 Score:9.3,9.3
1704062580.0,SOLUSDT,REJECT_EDGE_COST,Exp:21.1 (Sl:3.9/ATR:14.1) < Cost:20.0*2.0 Score:10.4,10.4
1704062640.0,SOLUSDT,REJECT_EDGE_COST,Exp:20.7 (Sl:3.5/ATR:13.8) < Cost:20.0*2.0 Score:10.3,10.3
1704062700.0,SOLUSDT,REJECT_EDGE_COST,Exp:24.2 (Sl:6.0/ATR:16.1) < Cost:20.0*2.0 Score:12.0,12.0
1704062760.0,SOLUSDT,REJECT_EDGE_COST,Exp:24.4 (Sl:5.3/ATR:16.3) < Cost:20.0*2.0 Score:11.8,11.8
1704062820.0,SOLUSDT,REJECT_EDGE_COST,Exp:24.2 (Sl:6.0/ATR:16.1) < Cost:20.0*2.0 Score:12.4,12.4
1704062880.0,SOLUSDT,REJECT_EDGE_COST,Exp:23.3 (Sl:5.9/ATR:15.5) < Cost:20.0*2.0 Score:12.5,12.5
1704062940.0,SOLUSDT,REJECT_EDGE_COST,Exp:26.5 (Sl:9.3/ATR:17.7) < Cost:20.0*2.0 Score:14.9,14.9
1704063000.0,SOLUSDT,REJECT_EDGE_COST,Exp:30.3 (Sl:10.4/ATR:20.2) < Cost:20.0*2.0 Score:15.8,15.8
1704063060.0,SOLUSDT,REJECT_EDGE_COST,Exp:36.8 (Sl:16.2/ATR:24.5) < Cost:20.0*2.0 Score:19.6,19.6
1704067920.0,SOLUSDT,REJECT_WEAK_TREND,ADX 32.9 < 45.0,
