Scenario,PositionId,EntryTs,ExitTs,Direction,EntryPrice,ExitPrice,ExpMove,Cost,Realized,Net,Slope,ADX,Regime
Asset_BNBUSDT,501f4bcb,1704208920.0,1704247860.0,SELL,308.4912,314.975685024,53.7,20.0,-210.19999999999933,-230.19999999999933,-0.182497,45.9,TREND
Asset_BNBUSDT,6729a688,1704275340.0,1704281040.0,BUY,332.9326,325.94767405199997,79.1,20.0,-209.80000000000038,-229.80000000000038,0.381687,59.5,TREND
Asset_BNBUSDT,e203307d,1704281340.0,1704283260.0,SELL,326.0736,313.34368665599993,51.1,20.0,390.4000000000021,370.4000000000021,-0.191426,47.76,TREND
Asset_BNBUSDT,a33d437f,1704291360.0,1704294120.0,SELL,305.9937,312.42568757399994,58.3,20.0,-210.1999999999983,-230.1999999999983,-0.347742,45.45,TREND
Asset_BNBUSDT,b03e1bb9,1704500520.0,1704680100.0,SELL,308.2914,296.25570374399996,44.6,20.0,390.4000000000016,370.4000000000016,-0.504983,45.32,TREND
Asset_BNBUSDT,6c1bdc27,1704681420.0,1704694860.0,SELL,291.8079,297.941702058,40.0,20.0,-210.19999999999854,-230.19999999999854,-0.215414,45.48,TREND
Asset_BNBUSDT,a29d0304,1704760740.0,1704776520.0,SELL,298.2015,304.46969552999997,40.5,20.0,-210.19999999999854,-230.19999999999854,-0.324513,53.17,TREND
Asset_BNBUSDT,acd2587f,1704891060.0,1704921060.0,SELL,292.40729999999996,298.55370144599993,41.8,20.0,-210.199999999999,-230.199999999999,-0.270314,55.57,TREND
Asset_BNBUSDT,921333a0,1704987780.0,1705097040.0,SELL,307.0926,295.10370489599995,45.4,20.0,390.4000000000016,370.4000000000016,-0.347538,47.45,TREND
Asset_BNBUSDT,47b8f7e8,1705098060.0,1705099860.0,SELL,290.0097,296.105703894,52.2,20.0,-210.1999999999992,-230.1999999999992,-0.449111,46.49,TREND
Asset_BNBUSDT,3a92ee28,1705491660.0,1705682580.0,BUY,311.91159999999996,305.367694632,48.0,20.0,-209.79999999999902,-229.79999999999902,0.173273,45.56,TREND
Asset_BNBUSDT,b1b62145,1706001540.0,1706151180.0,SELL,300.49920000000003,288.767711232,42.0,20.0,390.4000000000006,370.4000000000006,-0.192594,47.13,TREND
Asset_BTCUSDT,e0b89016,1704282900.0,1704283680.0,SELL,43571.10528,41870.089329868795,43.3,20.0,390.40000000000185,370.40000000000185,-68.935388,62.63,TREND
Asset_ETHUSDT,4aa92f92,1704283260.0,1704283740.0,SELL,2233.8639,2146.6538533439993,70.7,20.0,390.4000000000022,370.4000000000022,-7.957251,62.99,TREND
Asset_ETHUSDT,891fb2a3,1704419400.0,1704445320.0,SELL,2223.4443300000003,2270.1811298166003,41.6,20.0,-210.20000000000027,-230.20000000000027,-2.213865,50.68,TREND
Asset_ETHUSDT,7f5744a7,1704889920.0,1704899400.0,SELL,2372.49513,2422.364977632599,42.0,20.0,-210.1999999999976,-230.1999999999976,-1.152385,46.81,TREND
Asset_ETHUSDT,4f3d6561,1704899580.0,1704921960.0,BUY,2436.0936599999995,2531.0038689935996,43.6,20.0,389.6000000000001,369.6000000000001,2.520514,46.64,TREND
Asset_ETHUSDT,43efcbb3,1704928500.0,1705080300.0,BUY,2614.1915799999997,2559.3458406515997,44.4,20.0,-209.8,-229.8,3.635585,45.74,TREND
Asset_ETHUSDT,350b2446,1705080600.0,1705098120.0,SELL,2578.6187999999997,2477.9495220479994,59.3,20.0,390.40000000000146,370.40000000000146,-0.928288,55.19,TREND
