Bar,Timestamp,Equity,Balance,UnrealizedPnL,PositionQty,Type
0,1701378060.0,10000.00,10000.00,0.00,0.00000000,BAR
1,1701378120.0,10000.00,10000.00,0.00,0.00000000,BAR
2,1701378180.0,10000.00,10000.00,0.00,0.00000000,BAR
3,1701378240.0,10000.00,10000.00,0.00,0.00000000,BAR
4,1701378300.0,10000.00,10000.00,0.00,0.00000000,BAR
5,1701378360.0,10000.00,10000.00,0.00,0.00000000,BAR
6,1701378420.0,10000.00,10000.00,0.00,0.00000000,BAR
7,1701378480.0,10000.00,10000.00,0.00,0.00000000,BAR
8,1701378540.0,10000.00,10000.00,0.00,0.00000000,BAR
9,1701378600.0,10000.00,10000.00,0.00,0.00000000,BAR
10,1701378660.0,10000.00,10000.00,0.00,0.00000000,BAR
11,1701378720.0,10000.00,10000.00,0.00,0.00000000,BAR
12,1701378780.0,10000.00,10000.00,0.00,0.00000000,BAR
13,1701378840.0,10000.00,10000.00,0.00,0.00000000,BAR
14,1701378900.0,10000.00,10000.00,0.00,0.00000000,BAR
15,1701378960.0,10000.00,10000.00,0.00,0.00000000,BAR
16,1701379020.0,10000.00,10000.00,0.00,0.00000000,BAR
17,1701379080.0,10000.00,10000.00,0.00,0.00000000,BAR
18,1701379140.0,10000.00,10000.00,0.00,0.00000000,BAR
19,1701379200.0,10000.00,10000.00,0.00,0.00000000,BAR
20,1701379260.0,10000.00,10000.00,0.00,0.00000000,BAR
21,1701379320.0,10000.00,10000.00,0.00,0.00000000,BAR
22,1701379380.0,10000.00,10000.00,0.00,0.00000000,BAR
23,1701379440.0,10000.00,10000.00,0.00,0.00000000,BAR
24,1701379500.0,10000.00,10000.00,0.00,0.00000000,BAR
25,1701379560.0,10000.00,10000.00,0.00,0.00000000,BAR
26,1701379620.0,10000.00,10000.00,0.00,0.00000000,BAR
27,1701379680.0,10000.00,10000.00,0.00,0.00000000,BAR
28,1701379740.0,10000.00,10000.00,0.00,0.00000000,BAR
29,1701379800.0,10000.00,10000.00,0.00,0.00000000,BAR
30,1701379860.0,10000.00,10000.00,0.00,0.00000000,BAR
31,1701379920.0,10000.00,10000.00,0.00,0.00000000,BAR
32,1701379980.0,10000.00,10000.00,0.00,0.00000000,BAR
33,1701380040.0,10000.00,10000.00,0.00,0.00000000,BAR
34,1701380100.0,10000.00,10000.00,0.00,0.00000000,BAR
35,1701380160.0,10000.00,10000.00,0.00,0.00000000,BAR
36,1701380220.0,10000.00,10000.00,0.00,0.00000000,BAR
37,1701380280.0,10000.00,10000.00,0.00,0.00000000,BAR
38,1701380340.0,10000.00,10000.00,0.00,0.00000000,BAR
39,1701380400.0,10000.00,10000.00,0.00,0.00000000,BAR
40,1701380460.0,10000.00,10000.00,0.00,0.00000000,BAR
41,1701380520.0,10000.00,10000.00,0.00,0.00000000,BAR
42,1701380580.0,10000.00,10000.00,0.00,0.00000000,BAR
43,1701380640.0,10000.00,10000.00,0.00,0.00000000,BAR
44,1701380700.0,10000.00,10000.00,0.00,0.00000000,BAR
45,1701380760.0,10000.00,10000.00,0.00,0.00000000,BAR
46,1701380820.0,10000.00,10000.00,0.00,0.00000000,BAR
47,1701380880.0,10000.00,10000.00,0.00,0.00000000,BAR
48,1701380940.0,10000.00,10000.00,0.00,0.00000000,BAR
49,1701381000.0,10000.00,10000.00,0.00,0.00000000,BAR
50,1701381060.0,10000.00,10000.00,0.00,0.00000000,BAR
51,1701381120.0,10000.00,10000.00,0.00,0.00000000,BAR
52,1701381180.0,10000.00,10000.00,0.00,0.00000000,BAR
53,1701381240.0,10000.00,10000.00,0.00,0.00000000,BAR
54,1701381300.0,10000.00,10000.00,0.00,0.00000000,BAR
55,1701381360.0,10000.00,10000.00,0.00,0.00000000,BAR
56,1701381420.0,10000.00,10000.00,0.00,0.00000000,BAR
57,1701381480.0,10000.00,10000.00,0.00,0.00000000,BAR
58,1701381540.0,10000.00,10000.00,0.00,0.00000000,BAR
59,1701381600.0,10000.00,10000.00,0.00,0.00000000,BAR
60,1701381660.0,10000.00,10000.00,0.00,0.00000000,BAR
61,1701381720.0,10000.00,10000.00,0.00,0.00000000,BAR
62,1701381780.0,10000.00,10000.00,0.00,0.00000000,BAR
63,1701381840.0,10000.00,10000.00,0.00,0.00000000,BAR
64,1701381900.0,10000.00,10000.00,0.00,0.00000000,BAR
65,1701381960.0,10000.00,10000.00,0.00,0.00000000,BAR
66,1701382020.0,10000.00,10000.00,0.00,0.00000000,BAR
67,1701382080.0,10000.00,10000.00,0.00,0.00000000,BAR
